"Division","n_surf","n_mid","n_bottom","mean_surf","mean_mid","mean_bottom","chi_sq","df","p_value","bonferroni_alpha","sig_bonferroni"
"Free-living",18,30,29,26.77,40.31,38.28,1.953,2,0.3767,0.025,"ns"
"Particle-associated",18,30,29,73.23,59.69,61.72,1.953,2,0.3767,0.025,"ns"
