cellid	station	depth_m	station_type	filter	Annelida	Apicomplexa	Arthropoda	Ascomycota	Bangiales	Basidiomycota	Brachiopoda	Cercozoa	Chlorophyta_ph	Choanoflagellida	Chytridiomycota	Ciliophora	Cnidaria	Cryptomonadales	Cryptomycota	Cryptophyceae_ph	Ctenophora	Dinoflagellata	Discosea	Echinodermata	Entoprocta	Euglenozoa	Florideophycidae	Gastrotricha	Hemichordata	Hyphochytriomycetes	Ichthyosporea	Incertae_Sedis	Kinorhyncha	Labyrinthulomycetes	LKM15	MAST-3	MAST-4	MAST-6	Mollusca	Mucoromycota	Nematoda	Nemertea	Neocallimastigomycota	Nucleariidae_and_Fonticula_group	Ochrophyta	Opalinata	Opisthokonta_ph	Pavlovophyceae	Peronosporomycetes	Phragmoplastophyta	Placozoa	Platyhelminthes	Porifera	Priapulida	Protalveolata	Prymnesiophyceae	Rotifera	Tunicata	uncultured	Vertebrata	Zoopagomycota
BOX_4_20	BBL1	13.295	S	0.2	0.690846286701209	0	1.82580804342462	0	0	0	0	0.690846286701209	1.87515420676042	0	3.08413520848754	3.67628916851715	0	6.88378978534419	0	0	1.99851961509993	60.7698001480385	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89982728842832	0	0	0	0	0	0	0	0	7.7226745620528	0	0	0	0	0	0	0	0	0	5.89686651862818	2.98544288181594	0	0	0	0	0
BOX_4_21	BBL1	13.295	S	0.2	0	0	60.8131487889273	0	0	0	0	0.346020761245675	9.16955017301038	0	0	0	0	1.94636678200692	0	0	0	3.76297577854671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77335640138408	0	0	0	0	0	0	8.95328719723183	0	0	0	0	0	0	0	0	0	13.2352941176471	0	0	0	0	0	0
BOX_4_22	BBL1	13.295	S	0.2	0	0	7.30441230997404	0	0	0	0	0	12.2728958101594	0	0	0.741564701520208	0	3.41119762699295	0	0	0	44.9017426770486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96514645902855	0	0	0	0	0	0	12.1987393400074	0	0	0	0	0	0	0	0	0	17.2043010752688	0	0	0	0	0	0
AMBON_1_59	BBL12	6.018	S	0.2	0	0	0.142258161126086	0	0	0	0	0	1.63222521713088	0	0.920934411500449	15.5435759209344	0.479185384845762	0.217130877508236	0.232105420784666	0	0	7.56214435459719	0.149745432764301	0	0	0	0	0	0	0	0	0	0	0.112309074573226	0	0.0524109014675053	0	0	0	0	0	0	0	0	71.0092842168314	0	0	0	0	0	0	0	0	0	0.449236298292902	0.411799940101827	0.284516322252171	0	0.801138065289009	0	0
AMBON_1_61	BBL12	20.947	S	0.2	0	0	0.435767822903957	0	0	0	0	0	0.801812794143281	0	0.174307129161583	14.7812445529022	0.453198535820115	0	2.82377549241764	0	0	1.84765556911278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0522921387484748	0	0	0	0	0	0	76.7997211085933	0	0	0	0	0	0	0	0	0	0.854104932891755	0.784382081227122	0.191737842077741	0	0	0	0
AMBON_1_57	BBL12	30.232	S	0.2	0	0	0	0	0	0	0	0	0	0	1.18170443486723	3.5451133046017	0	0	0.750729876268595	0	0	1.39024051160851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.852217433616	0	0	0	0	0	0	0	0	0	0	2.27999443903795	0	0	0	0	0
AMBON_1_58	BBL12	43.713	S	0.2	0.390152024754473	0	0	0	0.0672675904749092	0	0	0	1.22427014664335	0	2.12565585900713	9.72689358267187	0.2959773980896	0.766850531413965	1.41261939997309	0	0	6.98237589129557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.8598143414503	0	0	0	0	0	0	0	0	0	1.43952643616306	1.70859679806269	0	0	0	0	0
AMBON_1_43	BBL2	4.912	P	0.2	0	0	0.107571369466281	0	0	0.339263549855192	0	0.413736036408771	21.7873396772859	0	4.22010757136947	12.0893669838643	0	5.17997517583782	1.94455937112123	0.115846090194456	0.405461315680596	17.2031443938767	0	2.40794373189905	0	0	0	0	0	0	0	0	0	0	0	1.42325196524617	0.620604054613157	0.68680182043856	0	0	0	0	0	0	9.02772031443939	0	0.256516342573438	0.0744724865535788	0.0248241621845263	0	0	0	0	0.28961522548614	18.5353744311129	2.37484484898635	0	0	0.471659081505999	0	0
BOX_6_98	BBL2	4.912	P	3	0	0	0	0	0	0	0	0	11.5384615384615	0	9.06593406593407	3.2967032967033	2.1978021978022	3.84615384615385	4.25824175824176	0	0	20.467032967033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.4450549450549	0	0	1.0989010989011	0	0	0	0	0	0	5.49450549450549	21.2912087912088	0	0	0	0	0
BOX_6_99	BBL2	4.912	P	20	33.1550802139037	0	15.9663865546218	0	0	0	0	0	0	0	0	2.10084033613445	1.4514896867838	0	0	0	0	2.5974025974026	0	8.89992360580596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.3009931245225	0	0	0	0	0	0	0	0	0	0	1.52788388082506	0	0	0	0	0
