cellid	station	depth_m	station_type	filter	Annelida;Clitellata	Annelida;Polychaeta	Apicomplexa;Aconoidasida	Apicomplexa;Conoidasida	Arthropoda;Arachnida	Arthropoda;Ellipura	Arthropoda;Insecta	Arthropoda;Malacostraca	Arthropoda;Maxillopoda	Ascomycota;Dothideomycetes	Ascomycota;Eurotiomycetes	Ascomycota;Incertae_Sedis	Ascomycota;Lecanoromycetes	Ascomycota;Leotiomycetes	Ascomycota;Saccharomycetes	Ascomycota;Sordariomycetes	Ascomycota;Taphrinomycetes	Bangiales;Bangiales_cl	Basidiomycota;Agaricomycetes	Basidiomycota;Dacrymycetes	Basidiomycota;Malasseziomycetes	Basidiomycota;Microbotryomycetes	Basidiomycota;Pucciniomycetes	Basidiomycota;Tremellomycetes	Brachiopoda;Phoroniformea_cl	Cercozoa;Thecofilosea	Chlorophyta_ph;Chlorodendrophyceae	Chlorophyta_ph;Chlorophyceae	Chlorophyta_ph;Mamiellophyceae	Chlorophyta_ph;Nephroselmidophyceae	Chlorophyta_ph;Prasinophytae	Chlorophyta_ph;Trebouxiophyceae	Chlorophyta_ph;Ulvophyceae	Choanoflagellida;Craspedida	Chytridiomycota;Incertae_Sedis	Ciliophora;Intramacronucleata	Ciliophora;Postciliodesmatophora	Cnidaria;Anthozoa	Cnidaria;Hydrozoa	Cnidaria;Scyphozoa	Cryptomonadales;Cryptomonadales_cl	Cryptomycota;LKM11_cl	Cryptophyceae_ph;Cryptophyceae_cl	Ctenophora;Tentaculata	Dinoflagellata;Dinophyceae	Dinoflagellata;Incertae_Sedis	Dinoflagellata;Noctilucales	Discosea;Longamoebia	Echinodermata;Asteroidea	Echinodermata;Crinoidea	Echinodermata;Echinoidea	Echinodermata;Holothuroidea	Echinodermata;Ophiuroidea	Entoprocta;Solitaria	Euglenozoa;Euglenida	Euglenozoa;Kinetoplastea	Florideophycidae;Corallinophycidae	Florideophycidae;Rhodymeniophycidae	Gastrotricha;Gastrotricha_cl	Hemichordata;Enteropneusta	Hyphochytriomycetes;Hyphochytriomycetes_cl	Ichthyosporea;Dermocystida	Ichthyosporea;Ichthyophonae	Incertae_Sedis;Incertae_Sedis_cl	Kinorhyncha;Kinorhyncha_cl	Labyrinthulomycetes;Labyrinthulomycetes_cl	LKM15;LKM15_cl	MAST-3;MAST-3C	MAST-3;MAST-3E	MAST-3;MAST-3F	MAST-3;MAST-3I	MAST-3;MAST-3K	MAST-4;MAST-4D	MAST-6;MAST-6_cl	Mollusca;Bivalvia	Mollusca;Gastropoda	Mucoromycota;Glomeromycetes	Mucoromycota;Incertae_Sedis	Nematoda;Chromadorea	Nematoda;Enoplea	Nemertea;Anopla	Nemertea;Enopla	Neocallimastigomycota;Neocallimastigomycetes	Nucleariidae_and_Fonticula_group;Nucleariidae_and_Fonticula_group_cl	Ochrophyta;Chrysophyceae	Ochrophyta;Diatomea	Ochrophyta;Dictyochophyceae	Ochrophyta;Eustigmatophyceae	Ochrophyta;Ochrophyta_cl	Ochrophyta;Pelagophyceae	Ochrophyta;Phaeophyceae	Ochrophyta;Pinguiophyceae	Ochrophyta;Raphidophyceae	Opalinata;Opalinata_cl	Opisthokonta_ph;Aphelidea	Pavlovophyceae;Pavlovophyceae_cl	Peronosporomycetes;Peronosporomycetes_cl	Phragmoplastophyta;Embryophyta	Phragmoplastophyta;Zygnematophyceae_cl	Placozoa;Placozoa_cl	Platyhelminthes;Rhabditophora	Porifera;Demospongiae	Priapulida;Priapulida_cl	Protalveolata;Perkinsidae	Protalveolata;Syndiniales	Prymnesiophyceae;Coccolithales	Prymnesiophyceae;Isochrysidales	Prymnesiophyceae;Prymnesiales	Prymnesiophyceae;Prymnesiophyceae_cl	Prymnesiophyceae;uncultured	Rotifera;Monogononta	Tunicata;Ascidiacea	Tunicata;Thaliacea	uncultured;uncultured_cl	Vertebrata;Actinopterygii	Vertebrata;Chondrichthyes	Vertebrata;Mammalia	Zoopagomycota;Basidiobolomycetes
BOX_2_84	ML5.1	20.143	P	0.2	0	0	0	0	0	0	0	0	0.188691112648594	0	0	0.842820303163721	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34599660355997	0	0	7.05704761305743	0	2.33976979684257	0.452858670356626	0	0	22.7372790741556	6.8998050191836	0	0	0	0	1.81772438518146	3.13856217372162	0	0.132083778854016	8.08855902886974	0	0	0.547204226680923	0	0	0.54091452292597	0	0	0	0	0	0	0	0	0	0.144663186363922	0	0.0691867413044846	0.679288005534939	0	0.182401408893641	0	0	1.52839801245361	3.01276809862255	0.471727781621486	0	0.830240895653815	2.23913453676332	0	0	0	0	0	0	0	0	0	0	4.44053085099692	10.333983269388	1.17617460217624	0.352223410277376	1.93093905277061	1.50952890118875	0	0	0	0	0	0.352223410277376	0.11950437134411	0	0	0	0	0	0	0	9.63582615258821	0	0	4.05056921818982	0	0.22013963142336	0	0	0	0.591232152965595	0	0	0	0
BOX_7_82	ML5.1	20.143	P	3	0	0.172905679951586	0	0	0	0	0	0	0	0	0	2.04605054609377	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2592720670874	0	0	0.325639030575488	0.308348462580329	2.46390593931011	0	0	0	5.6453704504193	1.27950203164174	0	0	0.146969827958848	0	4.10650989885018	0.711795049134031	0	0.507189994524654	33.073974813406	0.146969827958848	0.907754819745829	0.409210109218755	0	0	7.87297196046223	0	0	0	0	0	0	0	0	0	0	0	0	0.12103397596611	0	0	0	0	0	1.42935362093311	0.406328347886228	0	0	2.97685945649981	0	0	0	0	0	0	0	0	0	0	0	20.3365897236391	0.296821417250223	0.244949713264747	0.144088066626322	0	0	0	0	0	0	0.386156018558543	0.389037779891069	0	0	0	0	0	0	0	1.55615111956428	0	0	8.32829025100141	0	0	0	0	0	0	0	0	0	0
BOX_5_92	ML5.1	20.143	P	20	0	0.343811394891945	0	0	0	0	0	0	0	0	0	0.180091683038638	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114603798297315	0	0	0	0	0.343811394891945	0	0	0	5.48461034708579	2.30844793713163	0	0.212835625409299	0	0	1.09692206941716	0.573018991486575	0	0.0982318271119843	53.7164374590701	0	0.180091683038638	0.163719711853307	0	0	4.63326784544859	0	0	0	0	0	0	0	0	0	0	0	0	0.0982318271119843	0	0	0	0	0	0.392927308447937	0	0	0.442043222003929	0	0	0	0	0	0	0	0	0	0	0	1.26064178127047	9.36476751800917	0	0	0.507531106745252	0	0	0	0	0	0	0	0.311067452521284	0	0	0	0	0	0	0	16.1755075311067	0	0	1.39161755075311	0	0	0	0	0	0.605762933857236	0	0	0	0
BOX_2_85	ML5.1	30.805	P	0.2	0	0	0	0	0	0	0	0	0	0	0	1.04665071770335	0	0	0	0	0	0	0.1146331738437	0	0	0	0	0	0	1.29585326953748	0	0	3.60346889952153	0.53329346092504	1.33074162679426	0.752591706539075	0	0	24.5265151515152	4.271331738437	0	0	0.159489633173844	0	1.22607655502392	4.20155502392344	0	0	8.58253588516746	0	0	0.448564593301435	0	0	1.65968899521531	0	0	0	0	0	0	0	0	0	0.129585326953748	0	0.0348883572567783	0.702751196172249	0	0.174441786283892	0	0	0.64792663476874	2.74122807017544	0.468500797448166	0	1.21112440191388	2.04844497607656	0	0	0	0	0	0	0	0	0	0	5.58712121212121	11.3187799043062	1.41547049441786	0.0797448165869219	2.41228070175439	1.72448165869219	0	0	0.0946969696969697	0	0	0.313995215311005	0.259170653907496	0	0	0	0	0	0	0	10.7705342902711	0	0	3.39912280701754	0.214314194577353	0	0	0	0	0.498405103668262	0	0	0	0
BOX_7_34	ML5.1	30.805	P	3	0	0.159806295399516	0	0	0	0	0	0	0	0	0	0.416464891041162	0	0	0	0	0	0	0.208232445520581	0	0	0	0	0	0	2.0774818401937	0	0	0.0774818401937046	0	0.188861985472155	0	0	0	12.3099273607748	0.382566585956416	0	0	0.324455205811138	0	5.66101694915254	0.493946731234867	0	1.83050847457627	46.9636803874092	0	0	0.193704600484261	0	0	0.101694915254237	0	0	0	0	0	0	0	0	0	0	0	0	0.556900726392252	0	0	0	0	0.150121065375303	1.43825665859564	0	0	0.290556900726392	0.779661016949152	0	0	0	0	0	0	0	0	0	0	0.368038740920097	8.92978208232445	0.164648910411622	0.11138014527845	0.295399515738499	0	0	0	0.203389830508475	0	0	0	0.174334140435835	0	0	0	0	0	0	0	5.19612590799032	0	0	9.04600484261501	0.37772397094431	0	0	0	0	0.527845036319613	0	0	0	0
BOX_7_33	ML5.1	30.805	P	20	0	1.3430029546065	0	0	0	0	0	0	0.48348106365834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67150147730325	1.69218372280419	0	0	0	0	0.13430029546065	0.96696212731668	0	0	67.8216492076283	0	0	1.28928283642224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.1925866236906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04754230459307	0	0	2.36368520010744	0	0	0.99382218640881	0	0	0	0	0	0	0
BOX_2_86	ML5.1	39.642	P	0.2	0	0	0	0	0	0	0	0	0	0	0	0.200055570991942	0	0	0	0	0	0	0.388996943595443	0	0	0	0	0	0	0.0500138927479855	0	0	0.500138927479855	0	0.172270075020839	0	0	0	16.2934148374548	3.22867463184218	0	0	0.677966101694915	0	1.8338427340928	2.25618227285357	0	1.50597388163379	6.57960544595721	0	0	0.0222283967768825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26674076132259	0	0.0944706863017505	0	0	0.205612670186163	2.82856348985829	0	0	1.89497082522923	0.150041678243957	0	0	0	0	0	0	0	0	0	0	3.67324256737983	3.08419005279244	0	0	2.16171158655182	1.11141983884412	0	0	0.161155876632398	0	0	0	0	0	0	0	0	0	0	0	49.497082522923	0	0	0.383439844401222	0.194498471797722	0	0.0555709919422062	0	0	0.527924423450958	0	0	0	0
BOX_5_83	ML5.1	39.642	P	3	0	4.57746478873239	0	0	0	0	0	0	4.57746478873239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.7183098591549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.1267605633803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOX_8_42	ML5.1	39.642	P	20	0	3.17725752508361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00334448160535	0	0	0	0	0	0	0	0	51.3377926421405	1.17056856187291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33779264214047	0	0	0	0	0	0	0	0	0	0	1.83946488294314	0	0	0	0	0	0	0	0	0	0.501672240802676	38.2943143812709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33779264214047	0	0	0	0	0	0	0	0	0	0
BOX_3_82	ML5.4	5.259	S	0.2	0	0.138104464690605	0	0	0	0	0	0	0.222616152038587	0	0	0	0	0	0	0	0	0	0.0618378200107186	0	0	0	0	0	0	0.849239394813868	0	0	1.85307333965453	1.54800676093499	4.34719874675351	0	0	0	5.66846683431587	13.6579131797007	0	0	0.546234076761347	0	0.616316939440162	0.129859422022509	0.0144288246691677	0.338046749391928	33.3862390237869	0.0144288246691677	1.32745186956343	0.284453972049305	0	0	0	0	0	0	0	0	0	0	0	0	0.0247351280042874	0	0	0.212309848703467	0	0.0742053840128623	0	0	0.597765593436946	0.309189100053593	0.0700828626788144	0	0.0948179906831018	2.16432370037515	0	0	0	0	0	0	0	0	0	0	0.634868285443377	22.4656800098941	0.554479119429443	0.309189100053593	0.327740446056808	0.358659356062168	0	0	0	0	0.288576493383353	0	0.548295337428371	0	0	0	0	0	0	0	4.53271220678567	0	0	1.24912396421651	0	0.0474089953415509	0.041225213340479	0	0	0.0906954693490539	0	0	0	0
