"filter","fam_gen","class","mean_RA_pct"
"20 µm","Alteromonadaceae; Alteromonas","Gammaproteobacteria",8.401
"20 µm","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",1.242
"20 µm","Clade_I; Clade_Ia","Alphaproteobacteria",0.488
"20 µm","Crocinitomicaceae; Fluviicola","Bacteroidia",2.004
"20 µm","Cryomorphaceae; uncultured","Bacteroidia",0.979
"20 µm","Flavobacteriaceae; Algibacter","Bacteroidia",0.585
"20 µm","Flavobacteriaceae; Formosa","Bacteroidia",1.982
"20 µm","Flavobacteriaceae; Lutibacter","Bacteroidia",0.987
"20 µm","Flavobacteriaceae; NS4_marine_group","Bacteroidia",0.22
"20 µm","Flavobacteriaceae; Polaribacter","Bacteroidia",4.625
"20 µm","Flavobacteriaceae; Tenacibaculum","Bacteroidia",1.454
"20 µm","Flavobacteriaceae; Ulvibacter","Bacteroidia",14.986
"20 µm","Flavobacteriaceae; uncultured","Bacteroidia",9.064
"20 µm","Halieaceae; Halioglobus","Gammaproteobacteria",0.883
"20 µm","Halieaceae; Luminiphilus","Gammaproteobacteria",1.01
"20 µm","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",3.289
"20 µm","Methylophagaceae; uncultured","Gammaproteobacteria",1.053
"20 µm","Moraxellaceae; Psychrobacter","Gammaproteobacteria",2.472
"20 µm","NS11-12_marine_group; NS11-12_marine_group_ge","Bacteroidia",3.43
"20 µm","NS9_marine_group; NS9_marine_group_ge","Bacteroidia",0.44
"20 µm","Nitrincolaceae; uncultured","Gammaproteobacteria",1.64
"20 µm","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",1.54
"20 µm","Porticoccaceae; SAR92_clade","Gammaproteobacteria",3.59
"20 µm","Pseudoalteromonadaceae; Pseudoalteromonas","Gammaproteobacteria",0.173
"20 µm","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",1.74
"20 µm","Rhodobacteraceae; Ascidiaceihabitans","Alphaproteobacteria",0.065
"20 µm","Rhodobacteraceae; Loktanella","Alphaproteobacteria",13.727
"20 µm","Rhodobacteraceae; Octadecabacter","Alphaproteobacteria",3.362
"20 µm","Rhodobacteraceae; Planktomarina","Alphaproteobacteria",0.058
"20 µm","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",5.6
"20 µm","SAR86_clade_fa; SAR86_clade_ge","Gammaproteobacteria",0.196
"20 µm","Spongiibacteraceae; uncultured","Gammaproteobacteria",3.586
"20 µm","Thioglobaceae; SUP05_cluster","Gammaproteobacteria",0.142
"20 µm","Unknown_Family; Candidatus_Carsonella","Gammaproteobacteria",1.285
