"cluster","phylum","class","fam_gen","mean_RA_pct","class_grp"
"1","Proteobacteria","Gammaproteobacteria","uncultured_fa; uncultured_ge",0.022,"Gammaproteobacteria"
"1","Tenericutes","Mollicutes","Mycoplasmataceae; uncultured",0.054,"Mollicutes"
"1","Thaumarchaeota","Nitrososphaeria","Nitrosopumilaceae; Candidatus_Nitrosopumilus",0.397,"Nitrososphaeria"
"1","Verrucomicrobia","Verrucomicrobiae","Chthoniobacteraceae; LD29",0.041,"Verrucomicrobiae"
"1","Verrucomicrobia","Verrucomicrobiae","DEV007; DEV007_ge",0.004,"Verrucomicrobiae"
"1","Verrucomicrobia","Verrucomicrobiae","Puniceicoccaceae; Lentimonas",0.931,"Verrucomicrobiae"
"1","Verrucomicrobia","Verrucomicrobiae","Puniceicoccaceae; MB11C04_marine_group",0.116,"Verrucomicrobiae"
"1","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Persicirhabdus",0.243,"Verrucomicrobiae"
"1","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Roseibacillus",0.461,"Verrucomicrobiae"
"1","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Rubritalea",0.076,"Verrucomicrobiae"
"2","Actinobacteria","Acidimicrobiia","Ilumatobacteraceae; Ilumatobacter",0.995,"Acidimicrobiia"
"2","Actinobacteria","Acidimicrobiia","Microtrichaceae; Sva0996_marine_group",0.29,"Acidimicrobiia"
"2","Bacteroidetes","Bacteroidia","Crocinitomicaceae; Fluviicola",1.483,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Cryomorphaceae; NS10_marine_group",0.107,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Cryomorphaceae; uncultured",1.259,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Cyclobacteriaceae; Fabibacter",0.023,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Cyclobacteriaceae; Marinoscillum",0.013,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Algibacter",1.001,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Dokdonia",0.143,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Flavobacterium",0.193,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Formosa",3.478,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutibacter",0.849,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutimonas",0.13,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS2b_marine_group",0.048,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS4_marine_group",0.055,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS5_marine_group",0.337,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter",4.313,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter_1",0.187,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Psychroserpens",0.066,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Tenacibaculum",1.267,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Ulvibacter",16.277,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; uncultured",7.477,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","NS11-12_marine_group; NS11-12_marine_group_ge",2.921,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","NS9_marine_group; NS9_marine_group_ge",0.399,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Saprospiraceae; Portibacter",0.152,"Bacteroidia"
"2","Bacteroidetes","Bacteroidia","Saprospiraceae; uncultured",0.169,"Bacteroidia"
"2","Planctomycetes","Phycisphaerae","Phycisphaeraceae; Urania-1B-19_marine_sediment_group",0.063,"Phycisphaerae"
