"ASV","mean_a","mean_b","log2FC","padj","direction"
"Alteromonadales (100); Psychromonadaceae (100); Psychromonas (100); ESV_559",0,0.05956,-15.86,1.24e-05,"Enriched in B"
"Cytophagales (30); Cyclobacteriaceae (30); Fabibacter (25); ESV_1027",0,0.05772,-15.82,1.24e-05,"Enriched in B"
"Cellvibrionales (63); Halieaceae (49); Luminiphilus (27); ESV_601",0.21382,0.11848,0.85,1.26e-05,"Enriched in A"
"SAR11_clade (100); Clade_IV (100); Clade_IV_ge (100); ESV_113",0,0.05161,-15.66,2.06e-05,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_257",0,0.06205,-15.92,2.06e-05,"Enriched in B"
"Verrucomicrobiales (100); Rubritaleaceae (100); Rubritalea (99); ESV_758",0,0.05784,-15.82,3.57e-05,"Enriched in B"
"Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (50); ESV_544",0.17527,0.06576,1.41,3.62e-05,"Enriched in A"
"OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_2721",0.06679,0.00749,3.16,3.86e-05,"Enriched in A"
"Nitrosopumilales (100); Nitrosopumilaceae (100); Candidatus_Nitrosopumilus (100); ESV_263",0.00994,0.08261,-3.05,3.9e-05,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (85); ESV_676",0.14851,0.04818,1.62,4.35e-05,"Enriched in A"
"Diplorickettsiales (5); Diplorickettsiaceae (5); uncultured (5); ESV_2764",0.01253,0.06953,-2.47,4.77e-05,"Enriched in B"
"Pseudomonadales (87); Moraxellaceae (87); Psychrobacter (83); ESV_364",0.02511,0.08619,-1.78,5.27e-05,"Enriched in B"
"Alteromonadales (100); Colwelliaceae (100); Colwellia (100); ESV_479",0,0.05665,-15.79,5.37e-05,"Enriched in B"
"Thiotrichales (92); Thiotrichaceae (92); Thiotrichaceae_ge (92); ESV_488",0,0.05075,-15.63,5.37e-05,"Enriched in B"
"Verrucomicrobiales (100); Rubritaleaceae (100); Roseibacillus (99); ESV_59",0.02019,0.08131,-2.01,5.54e-05,"Enriched in B"
"Phycisphaerales (100); Phycisphaeraceae (100); Urania-1B-19_marine_sediment_group (79); ESV_802",0.00563,0.05746,-3.35,5.62e-05,"Enriched in B"
"Flavobacteriales (76); Cryomorphaceae (27); uncultured (21); ESV_1451",0,0.04753,-15.54,8.77e-05,"Enriched in B"
"Oceanospirillales (100); Litoricolaceae (100); Litoricola (100); ESV_1803",0,0.04427,-15.43,8.77e-05,"Enriched in B"
"Microtrichales (100); Microtrichaceae (100); Sva0996_marine_group (100); ESV_343",0,0.03637,-15.15,0.00015,"Enriched in B"
"Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (100); ESV_94",0.18799,0.08919,1.08,0.000212,"Enriched in A"
"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_261",0.1515,0.05468,1.47,0.000289,"Enriched in A"
"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_58",0.32418,0.19884,0.71,0.000301,"Enriched in A"
"OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_1503",0.09011,0.02142,2.07,0.000369,"Enriched in A"
"Rhodospirillales (100); Magnetospiraceae (100); uncultured (100); ESV_844",0,0.039,-15.25,0.000409,"Enriched in B"
"Phycisphaerales (98); Phycisphaeraceae (98); Urania-1B-19_marine_sediment_group (67); ESV_623",0.00566,0.04525,-3,0.000428,"Enriched in B"
"Cellvibrionales (100); Halieaceae (100); Halioglobus (95); ESV_1234",0.04286,0.0021,4.35,0.000508,"Enriched in A"
"Arenicellales (100); Arenicellaceae (100); Arenicella (100); ESV_2959",0.0439,0.00442,3.31,0.000508,"Enriched in A"
"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_96",0.36035,0.2394,0.59,0.000587,"Enriched in A"
"SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_37",0.16071,0.27709,-0.79,0.000613,"Enriched in B"
"Chromatiales (65); Sedimenticolaceae (65); uncultured (65); ESV_208",0,0.0343,-15.07,0.000628,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); Algibacter (96); ESV_984",0,0.04118,-15.33,0.000628,"Enriched in B"
"Betaproteobacteriales (100); Nitrosomonadaceae (100); IS-44 (100); ESV_2301",0,0.02887,-14.82,0.000628,"Enriched in B"
"Rhodospirillales (100); AEGEAN-169_marine_group (100); AEGEAN-169_marine_group_ge (100); ESV_168",0.0048,0.04194,-3.13,0.000653,"Enriched in B"
"Rickettsiales (10); Anaplasmataceae (4); Wolbachia (4); ESV_2884",0.0034,0.03909,-3.52,0.00174,"Enriched in B"
"Pirellulales (100); Pirellulaceae (100); Blastopirellula (100); ESV_2431",0,0.03668,-15.16,0.00177,"Enriched in B"
"Oceanospirillales (100); Saccharospirillaceae (100); Reinekea (100); ESV_1129",0.14672,0.08242,0.83,0.00216,"Enriched in A"
"Thiohalorhabdales (29); Thiohalorhabdaceae (29); uncultured (29); ESV_367",0.05472,0.01064,2.36,0.00228,"Enriched in A"
"Cellvibrionales (100); Halieaceae (100); Halioglobus (96); ESV_1031",0.05573,0.00795,2.81,0.00228,"Enriched in A"
"Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_709",0.12113,0.05026,1.27,0.00249,"Enriched in A"
"Alteromonadales (100); Moritellaceae (100); Moritella (100); ESV_654",0,0.02484,-14.6,0.00275,"Enriched in B"
"Nostocales (5); Phormidiaceae (4); Trichodesmium_IMS101 (4); ESV_3693",0,0.03187,-14.96,0.00275,"Enriched in B"
"SAR11_clade (100); Clade_II (100); Clade_II_ge (100); ESV_98",0.00291,0.0405,-3.8,0.00367,"Enriched in B"
"OM190_or (100); OM190_fa (100); OM190_ge (100); ESV_1126",0,0.02242,-14.45,0.00446,"Enriched in B"
"Betaproteobacteriales (100); Burkholderiaceae (100); RS62_marine_group (100); ESV_1499",0,0.03253,-14.99,0.00446,"Enriched in B"
"Bacteroidales (23); Bacteroidetes_BD2-2 (13); Bacteroidetes_BD2-2_ge (13); ESV_3603",0,0.01954,-14.25,0.00446,"Enriched in B"
"Cellvibrionales (100); Spongiibacteraceae (100); BD1-7_clade (100); ESV_1132",0.01783,0,14.12,0.00564,"Enriched in A"
