"ASV","log2FoldChange","padj","direction"
"Oceanospirillales (100); Litoricolaceae (100); Litoricola (100); ESV_1803",-6.2,2.32e-05,"Enriched in B"
"Phycisphaerales (98); Phycisphaeraceae (98); Urania-1B-19_marine_sediment_group (67); ESV_623",-5.99,4.3e-05,"Enriched in B"
"Flavobacteriales (76); Cryomorphaceae (27); uncultured (21); ESV_1451",-5.8,6.32e-05,"Enriched in B"
"Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30",-2.28,0.000101,"Enriched in B"
"Rhodospirillales (100); AEGEAN-169_marine_group (100); AEGEAN-169_marine_group_ge (100); ESV_168",-6.18,0.000119,"Enriched in B"
"Nitrosopumilales (100); Nitrosopumilaceae (100); Candidatus_Nitrosopumilus (100); ESV_263",-4.91,0.000723,"Enriched in B"
"Pirellulales (100); Pirellulaceae (100); Blastopirellula (100); ESV_2431",-6.67,0.000723,"Enriched in B"
"Microtrichales (100); Microtrichaceae (100); Sva0996_marine_group (100); ESV_343",-5.07,0.000859,"Enriched in B"
"Rickettsiales (10); Anaplasmataceae (4); Wolbachia (4); ESV_2884",-5.76,0.00224,"Enriched in B"
"Chromatiales (65); Sedimenticolaceae (65); uncultured (65); ESV_208",-5.36,0.0025,"Enriched in B"
"OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_314",2.25,0.0034,"Enriched in A"
"Rhodospirillales (100); Magnetospiraceae (100); uncultured (100); ESV_844",-5.4,0.00417,"Enriched in B"
"Cellvibrionales (63); Halieaceae (49); Luminiphilus (27); ESV_601",1.4,0.00866,"Enriched in A"
"Nostocales (5); Phormidiaceae (4); Trichodesmium_IMS101 (4); ESV_3693",-5.89,0.00948,"Enriched in B"
"Arenicellales (100); Arenicellaceae (100); Arenicella (100); ESV_2959",4.24,0.0183,"Enriched in A"
"Flavobacteriales (88); Cryomorphaceae (27); uncultured (27); ESV_1379",-4.87,0.0194,"Enriched in B"
"Cellvibrionales (100); Halieaceae (100); Halioglobus (95); ESV_1234",4.59,0.021,"Enriched in A"
"Betaproteobacteriales (100); Nitrosomonadaceae (100); IS-44 (100); ESV_2301",-4.21,0.0332,"Enriched in B"
"Diplorickettsiales (5); Diplorickettsiaceae (5); uncultured (5); ESV_2764",-2.96,0.0403,"Enriched in B"
"OM190_or (100); OM190_fa (100); OM190_ge (100); ESV_1126",-4.82,0.0447,"Enriched in B"
"Chitinophagales (100); Saprospiraceae (99); Aureispira (99); ESV_789",-5.36,0.0496,"Enriched in B"
