"ASV","enriched_in","mean_3a_pct","mean_3b_pct","log2FC","pvalue","padj"
"uncultured (100); uncultured_fa (100); uncultured_ge (100); ESV_425","3b (northern/DBO3)",0.099,0.33,1.74,0.00375,0.0149
"Rhodospirillales (54); Magnetospiraceae (40); uncultured (27); ESV_262","3b (northern/DBO3)",0.167,0.425,1.34,0.00392,0.0151
"Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (99); ESV_15","3b (northern/DBO3)",0.576,1.275,1.15,0.00444,0.0167
"Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_4","3b (northern/DBO3)",10.604,13.297,0.33,0.00459,0.0168
"Pirellulales (100); Pirellulaceae (100); Blastopirellula (100); ESV_2431","3a (southern/Bering Strait)",0.256,0,-11.32,0.00469,0.0168
"Betaproteobacteriales (100); Burkholderiaceae (81); RS62_marine_group (51); ESV_288","3b (northern/DBO3)",0.221,0.343,0.64,0.00487,0.017
"Cytophagales (70); Cyclobacteriaceae (69); uncultured (59); ESV_2022","3b (northern/DBO3)",0.09,0.21,1.22,0.00508,0.0173
"Rhodobacterales (100); Rhodobacteraceae (100); Ascidiaceihabitans (98); ESV_198","3a (southern/Bering Strait)",1.12,0.477,-1.23,0.00542,0.018
"Spirochaetales (5); Spirochaetaceae (5); uncultured (5); ESV_1032","3a (southern/Bering Strait)",0.133,0,-10.38,0.00732,0.0233
"Nostocales (5); Phormidiaceae (4); Trichodesmium_IMS101 (4); ESV_3693","3a (southern/Bering Strait)",0.24,0,-11.23,0.00732,0.0233
"JGI_0000069-P22 (11); JGI_0000069-P22_fa (11); JGI_0000069-P22_ge (11); ESV_1988","3b (northern/DBO3)",0.201,0.604,1.59,0.00827,0.0257
"Bacteroidales (100); Marinifilaceae (100); uncultured (100); ESV_4665","3b (northern/DBO3)",0,0.032,8.34,0.0103,0.0313
"Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (88); ESV_201","3b (northern/DBO3)",0.692,1.166,0.75,0.0119,0.0355
"Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (100); ESV_457","3a (southern/Bering Strait)",0.64,0.267,-1.26,0.0135,0.0393
"Alteromonadales (100); Alteromonadaceae (100); Paraglaciecola (100); ESV_38","3a (southern/Bering Strait)",1.196,0.656,-0.87,0.017,0.0487
"Nitrosococcales (96); Methylophagaceae (96); uncultured (80); ESV_763","3a (southern/Bering Strait)",0.445,0.094,-2.25,0.0178,0.049
"Bdellovibrionales (100); Bacteriovoracaceae (100); Peredibacter (100); ESV_1747","3b (northern/DBO3)",0.031,0.096,1.65,0.0178,0.049
