"sample_id","station","depth_type","depth_m","cluster","NO3(uM)"
"BOX_7_66","CBW14","bottom",47.77,"7",14.6
"BOX_7_61","CNL1","mid",9.78,"7",14.4
"BOX_6_57","CBW3","mid",24.97,"7",14.3
"BOX_7_60","CNL1","surf",4.14,"7",14
"BOX_6_54","CBW5","mid",9.8,"7",12.2
"BOX_6_56","CBW3","mid",20.73,"7",7.9
"BOX_7_57","CNL2","surf",4.11,"7",5.1
"BOX_7_58","CNL2","mid",9.73,"7",5
"BOX_7_50","CPL8","mid",40.11,"7",4.7
"BOX_7_49","CPL8","mid",30.32,"7",3.2
"BOX_7_71","CPL7","mid",19.9,"7",1.6
"BOX_7_48","CPL8","surf",3.61,"7",0.9
"BOX_6_55","CBW3","surf",4.26,"7",0.1
"BOX_6_58","DBO1.10","mid",13.17,"7",0
"BOX_8_64","CBE10","mid",10,"7",0
"BOX_8_65","CBE10","bottom",22.97,"7",0
"BOX_6_61","DBO2.3","surf",3.78,"7",NA
"BOX_8_66","DBO2.2","mid",16.68,"8",16.9
"BOX_9_16","SLY6","surf",3.25,"8",0.3
"BOX_7_54","CPL2","surf",3.73,"8",0.2
"BOX_6_64","CBE11","surf",3.37,"8",0.1
"BOX_7_53","CPL3","surf",4.56,"8",0.1
"BOX_8_67","DBO2.3","mid",10.09,"8",0.1
"BOX_9_15","SLY6","bottom",23.19,"8",0.1
"BOX_7_55","CPL2","bottom",12.84,"8",0
"BOX_7_56","CPL1","surf",3.79,"8",0
"BOX_8_53","CPL1","bottom",12,"8",0
"BOX_9_13","SLY7","mid",9.3,"8",0
"BOX_9_14","SLY7","surf",3.53,"8",0
"BOX_9_46","CBE1","mid",10.2,"9",7.5
"BOX_9_47","CBE1","surf",3.86,"9",3.8
"BOX_9_52","DBO3.4","bottom",45.88,"9",1.8
"BOX_9_50","DBO3.4","mid",19.95,"9",1.1
"BOX_9_45","SLY2","surf",3.52,"9",0.3
"BOX_9_55","DBO3.2","bottom",39.95,"9",0.3
"BOX_5_46","CBE2","surf",4.09,"9",0.1
"BOX_9_49","DBO3.4","surf",2.97,"9",0.1
"BOX_9_58","IL1","surf",4.02,"9",0.1
"BOX_9_51","DBO3.3","surf",2.59,"9",0
"BOX_9_57","DBO3.1","bottom",32.04,"9",0
"BOX_9_59","IL1","bottom",19.78,"9",0
"BOX_5_45","CBE1","bottom",35.83,"10",8.3
"BOX_6_59","DBO1.10","mid",25.03,"10",7.2
"BOX_8_100","CBE3","bottom",28,"10",5.9
"BOX_5_47","CBE5","mid",20.19,"10",4.1
"BOX_6_62","DBO2.3","bottom",34.71,"10",4
"BOX_9_27","KL2","bottom",32.73,"10",2.9
"BOX_8_92","CNL10","mid",9.79,"10",2.4
"BOX_9_20","DBO3.4","mid",30.39,"10",1.5
"BOX_9_60","IL3","bottom",33.34,"10",1.2
