"station","lat","lon","n_samples","mean_NO3","mean_chl","clusters"
"DBO3.1",68.30042,-166.94126,3,0,0.5,"C2b1, C2b2"
"DBO3.2",68.24228,-167.11974,2,0.35,1,"C2b1, C2b2"
"DBO3.3",68.18544,-167.31098,2,0.05,0.77,"C2b1, C2b2"
"DBO3.4",68.12816,-167.501004,5,0.92,0.36,"B2b, C2b1, C2b2"
"DBO3.5",68.0132266666667,-167.87114,3,7.5,0.72,"B1, C1a"
"DBO3.6",67.7686485714286,-168.653245714286,7,7.34,11.67,"C1a"
"DBO3.7",67.7834175,-168.59994,4,9.43,4.16,"C1a"
"DBO3.8",67.67131,-168.9593875,4,7.78,12.27,"A1, B1, C1a"
