"cluster","phylum","class","genus","mean_RA_pct","phylum_grp"
"B1","Bacteroidetes","Bacteroidia","Polaribacter",6.742,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","Polaribacter_1",0.072,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","Portibacter",0.03,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","Rubidimonas",0.008,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","Tenacibaculum",3.172,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","Ulvibacter",7.851,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","uncultured",9.516,"Bacteroidetes"
"B1","Epsilonbacteraeota","Campylobacteria","Arcobacter",0.025,"Other"
"B1","Euryarchaeota","Thermoplasmata","Marine_Group_II_ge",0.076,"Euryarchaeota"
"B1","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)_cl","Marinimicrobia_(SAR406_clade)_ge",0.091,"Marinimicrobia_(SAR406_clade)"
"B1","Patescibacteria","Gracilibacteria","JGI_0000069-P22_ge",0.458,"Patescibacteria"
"B1","Proteobacteria","Alphaproteobacteria","Amylibacter",1.791,"Proteobacteria"
"B1","Proteobacteria","Alphaproteobacteria","Clade_II_ge",0.04,"Proteobacteria"
"B1","Proteobacteria","Alphaproteobacteria","Clade_Ia",7.092,"Proteobacteria"
"B1","Proteobacteria","Alphaproteobacteria","Litoreibacter",0.114,"Proteobacteria"
"B1","Proteobacteria","Alphaproteobacteria","Loktanella",2.57,"Proteobacteria"
"B1","Proteobacteria","Alphaproteobacteria","OCS116_clade_ge",0.539,"Proteobacteria"
"B1","Proteobacteria","Alphaproteobacteria","Planktomarina",0.508,"Proteobacteria"
