"cluster","phylum","class","fam_gen","mean_RA_pct","class_grp"
"C2b1","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Persicirhabdus",1.078,"Verrucomicrobiae"
"C2b1","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Roseibacillus",0.094,"Verrucomicrobiae"
"C2b2","Bacteroidetes","Bacteroidia","Crocinitomicaceae; Fluviicola",1.086,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Cryomorphaceae; NS10_marine_group",0.506,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Cryomorphaceae; uncultured",2.995,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Cyclobacteriaceae; Marinoscillum",0.971,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Formosa",2.523,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutibacter",0.202,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutimonas",0.223,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS4_marine_group",0.56,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS5_marine_group",2.223,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter",6.059,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter_1",0.906,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Tenacibaculum",2.229,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Ulvibacter",6.966,"Bacteroidia"
