"cluster","phylum","class","fam_gen","mean_RA_pct","class_grp"
"C1b1","Bacteroidetes","Bacteroidia","Crocinitomicaceae; Fluviicola",1.072,"Bacteroidia"
"C1b1","Bacteroidetes","Bacteroidia","Cryomorphaceae; NS10_marine_group",0.078,"Bacteroidia"
"C1b1","Bacteroidetes","Bacteroidia","Cryomorphaceae; uncultured",3.457,"Bacteroidia"
"C1b1","Bacteroidetes","Bacteroidia","Cyclobacteriaceae; Marinoscillum",0.278,"Bacteroidia"
"C1b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Formosa",4.219,"Bacteroidia"
"C1b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutibacter",0.097,"Bacteroidia"
"C1b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS4_marine_group",0.549,"Bacteroidia"
"C1b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS5_marine_group",1.316,"Bacteroidia"
"C1b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter",6.677,"Bacteroidia"
"C1b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Tenacibaculum",2.354,"Bacteroidia"
"C1b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Ulvibacter",10.642,"Bacteroidia"
"C1b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; uncultured",4.177,"Bacteroidia"
"C1b1","Bacteroidetes","Bacteroidia","NS11-12_marine_group; NS11-12_marine_group_ge",2.765,"Bacteroidia"
"C1b1","Bacteroidetes","Bacteroidia","NS9_marine_group; NS9_marine_group_ge",2.11,"Bacteroidia"
"C1b1","Patescibacteria","Gracilibacteria","JGI_0000069-P22_fa; JGI_0000069-P22_ge",0.548,"Gracilibacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Clade_I; Clade_Ia",7.432,"Alphaproteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Clade_II; Clade_II_ge",0.721,"Alphaproteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Clade_III; Clade_III_ge",0.291,"Alphaproteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Magnetospiraceae; uncultured",0.101,"Alphaproteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","OCS116_clade; OCS116_clade_ge",0.14,"Alphaproteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Amylibacter",1.808,"Alphaproteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Ascidiaceihabitans",1.304,"Alphaproteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Loktanella",1.679,"Alphaproteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Planktomarina",3.351,"Alphaproteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Sulfitobacter",6.686,"Alphaproteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","SAR116_clade; SAR116_clade_ge",0.582,"Alphaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Alteromonas",0.102,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Paraglaciecola",1.349,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Burkholderiaceae; RS62_marine_group",0.467,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Halieaceae; Luminiphilus",0.072,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Halieaceae; OM60(NOR5)_clade",0.198,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Methylophagaceae; uncultured",0.231,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Methylophilaceae; Methylotenera",0.188,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Methylophilaceae; OM43_clade",0.52,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Moraxellaceae; Psychrobacter",0.018,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Nitrincolaceae; uncultured",11.294,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","OM182_clade_fa; OM182_clade_ge",2.282,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Porticoccaceae; SAR92_clade",3.85,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Pseudohongiellaceae; Pseudohongiella",0.581,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","SAR86_clade_fa; SAR86_clade_ge",1.781,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Spongiibacteraceae; uncultured",1.225,"Gammaproteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Thioglobaceae; SUP05_cluster",3.208,"Gammaproteobacteria"
"C1b1","Tenericutes","Mollicutes","Mycoplasmataceae; uncultured",1.002,"Mollicutes"
"C1b1","Thaumarchaeota","Nitrososphaeria","Nitrosopumilaceae; Candidatus_Nitrosopumilus",0.164,"Nitrososphaeria"
"C1b1","Verrucomicrobia","Verrucomicrobiae","Puniceicoccaceae; Lentimonas",2.36,"Verrucomicrobiae"
"C1b1","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Persicirhabdus",0.837,"Verrucomicrobiae"
"C1b1","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Roseibacillus",0.12,"Verrucomicrobiae"
"C1b2","Bacteroidetes","Bacteroidia","Crocinitomicaceae; Fluviicola",0.582,"Bacteroidia"
"C1b2","Bacteroidetes","Bacteroidia","Cryomorphaceae; NS10_marine_group",0.317,"Bacteroidia"
"C1b2","Bacteroidetes","Bacteroidia","Cryomorphaceae; uncultured",2.684,"Bacteroidia"
