"cluster","fam_gen","class","mean_RA_pct"
"B2a","Flavobacteriaceae; Tenacibaculum","Bacteroidia",2.238
"B2a","Flavobacteriaceae; Ulvibacter","Bacteroidia",5.79
"B2a","Flavobacteriaceae; uncultured","Bacteroidia",5.162
"B2a","Halieaceae; Luminiphilus","Gammaproteobacteria",0.528
"B2a","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",0.808
"B2a","NS11-12_marine_group; NS11-12_marine_group_ge","Bacteroidia",2.77
"B2a","NS9_marine_group; NS9_marine_group_ge","Bacteroidia",0.346
"B2a","Nitrincolaceae; uncultured","Gammaproteobacteria",21.078
"B2a","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",6.041
"B2a","Porticoccaceae; SAR92_clade","Gammaproteobacteria",6.661
"B2a","Pseudohongiellaceae; Pseudohongiella","Gammaproteobacteria",1.395
"B2a","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",2.236
"B2a","Rhodobacteraceae; Loktanella","Alphaproteobacteria",2.233
"B2a","Rhodobacteraceae; Planktomarina","Alphaproteobacteria",2.676
"B2a","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",5.682
"B2a","SAR116_clade; SAR116_clade_ge","Alphaproteobacteria",0.876
"B2a","SAR86_clade_fa; SAR86_clade_ge","Gammaproteobacteria",5.767
"B2a","Spongiibacteraceae; uncultured","Gammaproteobacteria",0.796
"B2a","Thioglobaceae; SUP05_cluster","Gammaproteobacteria",1.426
"B2b","Alteromonadaceae; Alteromonas","Gammaproteobacteria",0.126
"B2b","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",1.625
"B2b","Clade_I; Clade_Ia","Alphaproteobacteria",6.113
"B2b","Crocinitomicaceae; Fluviicola","Bacteroidia",1.488
"B2b","Cryomorphaceae; uncultured","Bacteroidia",3.384
"B2b","Cyclobacteriaceae; Marinoscillum","Bacteroidia",0.185
"B2b","Flavobacteriaceae; Formosa","Bacteroidia",0.28
"B2b","Flavobacteriaceae; NS4_marine_group","Bacteroidia",0.751
"B2b","Flavobacteriaceae; Polaribacter","Bacteroidia",7.84
"B2b","Flavobacteriaceae; Polaribacter_1","Bacteroidia",1.059
"B2b","Flavobacteriaceae; Tenacibaculum","Bacteroidia",2.856
"B2b","Flavobacteriaceae; Ulvibacter","Bacteroidia",10.88
"B2b","Flavobacteriaceae; uncultured","Bacteroidia",5.524
"B2b","Halieaceae; Luminiphilus","Gammaproteobacteria",0.653
"B2b","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",0.431
"B2b","Methylophagaceae; uncultured","Gammaproteobacteria",0.016
"B2b","Moraxellaceae; Psychrobacter","Gammaproteobacteria",0.732
"B2b","NS11-12_marine_group; NS11-12_marine_group_ge","Bacteroidia",3.708
"B2b","NS9_marine_group; NS9_marine_group_ge","Bacteroidia",0.154
"B2b","Nitrincolaceae; uncultured","Gammaproteobacteria",26.57
"B2b","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",4.563
"B2b","Porticoccaceae; SAR92_clade","Gammaproteobacteria",5.759
"B2b","Pseudohongiellaceae; Pseudohongiella","Gammaproteobacteria",0.569
"B2b","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",1.587
"B2b","Rhodobacteraceae; Loktanella","Alphaproteobacteria",2.232
"B2b","Rhodobacteraceae; Planktomarina","Alphaproteobacteria",0.531
"B2b","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",5.036
"B2b","SAR116_clade; SAR116_clade_ge","Alphaproteobacteria",0.471
"B2b","SAR86_clade_fa; SAR86_clade_ge","Gammaproteobacteria",0.545
"B2b","Spongiibacteraceae; uncultured","Gammaproteobacteria",1.791
