"sample_cluster","col_cluster","ASV","short_name","mean_in","mean_out"
"A2","CC3","Phycisphaerales (100); Phycisphaeraceae (100); Urania-1B-19_marine_sediment_group (79); ESV_802","Urania-1B-19_marine_sediment_group (79); ESV_802",0.003339,0.000536
"A2","CC3","Rhodospirillales (100); AEGEAN-169_marine_group (100); AEGEAN-169_marine_group_ge (100); ESV_168","AEGEAN-169_marine_group_ge (100); ESV_168",0.001762,0.000416
"A2","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8","SAR86_clade_ge (100); ESV_8",0.095222,0.015252
"A2","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_37","SAR86_clade_ge (100); ESV_37",0.035731,0.009277
"A2","CC4","Cytophagales (100); Cyclobacteriaceae (100); Marinoscillum (100); ESV_217","Marinoscillum (100); ESV_217",0.028634,0.006612
"A2","CC4","Verrucomicrobiales (100); Rubritaleaceae (100); Roseibacillus (99); ESV_59","Roseibacillus (99); ESV_59",0.00322,0.001089
"A2","CC4","Opitutales (100); Puniceicoccaceae (100); MB11C04_marine_group (100); ESV_652","MB11C04_marine_group (100); ESV_652",0.001664,0.000951
"A2","CC5","Oceanospirillales (100); Pseudohongiellaceae (100); Pseudohongiella (100); ESV_147","Pseudohongiella (100); ESV_147",0.02919,0.001991
"A2","CC5","Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (100); ESV_94","SAR116_clade_ge (100); ESV_94",0.024451,0.003972
"A2","CC5","OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_314","OM182_clade_ge (100); ESV_314",0.021526,0.00257
"A2","CC5","Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (50); ESV_544","OM60(NOR5)_clade (50); ESV_544",0.014914,0.003856
"A2","CC5","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_626","SAR92_clade (100); ESV_626",0.010494,0.003348
"A2","CC6","Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_4","uncultured (100); ESV_4",0.202654,0.166273
"A2","CC6","SAR11_clade (100); Clade_I (100); Clade_Ia (100); ESV_1","Clade_Ia (100); ESV_1",0.136272,0.069111
"A2","CC6","OM182_clade (99); OM182_clade_fa (99); OM182_clade_ge (99); ESV_72","OM182_clade_ge (99); ESV_72",0.052371,0.021504
"A2","CC6","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_96","SAR92_clade (100); ESV_96",0.047812,0.018688
"A2","CC6","Rhodobacterales (100); Rhodobacteraceae (100); Amylibacter (88); ESV_14","Amylibacter (88); ESV_14",0.036326,0.013981
"B1","CC1","JGI_0000069-P22 (11); JGI_0000069-P22_fa (11); JGI_0000069-P22_ge (11); ESV_1988","JGI_0000069-P22_ge (11); ESV_1988",0.004531,0.001637
"B1","CC1","Cellvibrionales (100); Halieaceae (100); Halioglobus (96); ESV_1031","Halioglobus (96); ESV_1031",0.002401,0.001445
"B1","CC1","Rhodobacterales (100); Rhodobacteraceae (100); uncultured (37); ESV_1050","uncultured (37); ESV_1050",0.001522,0.000355
"B1","CC1","Flavobacteriales (100); NS7_marine_group (100); NS7_marine_group_ge (100); ESV_777","NS7_marine_group_ge (100); ESV_777",0.001226,0.000193
"B1","CC1","Thiohalorhabdales (29); Thiohalorhabdaceae (29); uncultured (29); ESV_367","uncultured (29); ESV_367",0.00108,0.00069
"B1","CC2","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_220","NS4_marine_group (100); ESV_220",0.013103,0.003037
"B1","CC2","Flavobacteriales (100); Flavobacteriaceae (100); Tenacibaculum (92); ESV_418","Tenacibaculum (92); ESV_418",0.009176,0.002335
"B1","CC2","Nitrosopumilales (100); Nitrosopumilaceae (100); Candidatus_Nitrosopumilus (100); ESV_263","Candidatus_Nitrosopumilus (100); ESV_263",0.006675,0.001637
"B1","CC2","Flavobacteriales (96); NS9_marine_group (92); NS9_marine_group_ge (92); ESV_238","NS9_marine_group_ge (92); ESV_238",0.005993,0.002535
"B1","CC2","Parvibaculales (100); OCS116_clade (100); OCS116_clade_ge (100); ESV_376","OCS116_clade_ge (100); ESV_376",0.005365,0.00172
"B1","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_37","SAR86_clade_ge (100); ESV_37",0.006942,0.011938
"B1","CC4","Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30","Planktomarina (85); ESV_30",0.005034,0.022908
