"cluster","col_cluster","ASV","short_name","mean_in","mean_out","ratio","score","pval","padj"
"A1","CC2","Parvibaculales (100); OCS116_clade (100); OCS116_clade_ge (100); ESV_376","OCS116_clade_ge (100); ESV_376",0.007706,0.001767,4.4,0.0336,0.000641,0.00617
"A1","CC6","Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_26","Sulfitobacter (99); ESV_26",0.112737,0.040211,2.8,0.3161,0.00125,0.011
"A1","CC6","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_58","SAR92_clade (100); ESV_58",0.047814,0.013333,3.6,0.1715,1.31e-05,0.000197
"A1","CC6","Rhodobacterales (100); Rhodobacteraceae (100); Amylibacter (88); ESV_14","Amylibacter (88); ESV_14",0.031511,0.015012,2.1,0.0661,0.000823,0.00758
"A2","CC1","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_757","SAR86_clade_ge (100); ESV_757",0.007576,0.000126,59.7,0.4526,9.85e-06,0.000154
"A2","CC1","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_3710","SAR86_clade_ge (100); ESV_3710",0.00961,0.000206,46.4,0.4454,1.64e-05,0.000239
"A2","CC1","Cellvibrionales (65); Spongiibacteraceae (53); BD1-7_clade (30); ESV_5213","BD1-7_clade (30); ESV_5213",0.002748,3.5e-05,75.5,0.2073,0.000108,0.00129
"A2","CC1","uncultured (53); uncultured_fa (53); uncultured_ge (53); ESV_804","uncultured_ge (53); ESV_804",0.004661,0.000107,43.3,0.2018,9.47e-10,3.94e-08
"A2","CC1","Parvibaculales (79); Parvibaculaceae (78); uncultured (78); ESV_1091","uncultured (78); ESV_1091",0.003436,7.7e-05,44.1,0.1516,0.000837,0.00768
"A2","CC1","Frankiales (68); Sporichthyaceae (64); hgcI_clade (43); ESV_3032","hgcI_clade (43); ESV_3032",0.000271,0,272.1,0.0738,3.68e-09,1.36e-07
"A2","CC1","OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_2721","OM182_clade_ge (100); ESV_2721",0.004789,0.000336,14.2,0.0682,6.69e-06,0.000109
"A2","CC1","Oceanospirillales (76); Pseudohongiellaceae (62); Pseudohongiella (62); ESV_9297","Pseudohongiella (62); ESV_9297",0.001375,3.8e-05,35.4,0.0486,0.000118,0.00139
"A2","CC1","Rhodobacterales (100); Rhodobacteraceae (100); Octadecabacter (100); ESV_1423","Octadecabacter (100); ESV_1423",0.000811,3.7e-05,21.3,0.0173,0.00103,0.00925
"A2","CC1","Arenicellales (100); Arenicellaceae (100); Arenicella (100); ESV_2959","Arenicella (100); ESV_2959",0.00166,0.000203,8.1,0.0135,0.00584,0.0434
"A2","CC1","Rhodobacterales (100); Rhodobacteraceae (100); uncultured (98); ESV_2023","uncultured (98); ESV_2023",0.000682,3.4e-05,19.7,0.0134,0.000118,0.00139
"A2","CC1","Puniceispirillales (91); uncultured (90); uncultured_ge (90); ESV_2225","uncultured_ge (90); ESV_2225",0.000296,1.5e-05,18.6,0.0055,0.0011,0.0098
"A2","CC1","KI89A_clade (100); KI89A_clade_fa (100); KI89A_clade_ge (100); ESV_857","KI89A_clade_ge (100); ESV_857",0.000674,0.00014,4.8,0.0032,0.00397,0.0306
"A2","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8","SAR86_clade_ge (100); ESV_8",0.095222,0.015252,6.2,0.5945,0.000173,0.00195
"A2","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_37","SAR86_clade_ge (100); ESV_37",0.035731,0.009277,3.9,0.1376,0.00295,0.0233
"A2","CC5","Oceanospirillales (100); Pseudohongiellaceae (100); Pseudohongiella (100); ESV_147","Pseudohongiella (100); ESV_147",0.02919,0.001991,14.7,0.4277,2.05e-08,6.21e-07
"A2","CC5","OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_314","OM182_clade_ge (100); ESV_314",0.021526,0.00257,8.4,0.1803,2.63e-07,6e-06
"A2","CC5","Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (100); ESV_94","SAR116_clade_ge (100); ESV_94",0.024451,0.003972,6.2,0.1505,3.6e-10,1.57e-08
"A2","CC5","Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (50); ESV_544","OM60(NOR5)_clade (50); ESV_544",0.014914,0.003856,3.9,0.0577,0.00029,0.00301
"A2","CC5","Cellvibrionales (63); Halieaceae (49); Luminiphilus (27); ESV_601","Luminiphilus (27); ESV_601",0.010295,0.003243,3.2,0.0327,0.00551,0.0411
"A2","CC6","OM182_clade (99); OM182_clade_fa (99); OM182_clade_ge (99); ESV_72","OM182_clade_ge (99); ESV_72",0.052371,0.021504,2.4,0.1275,5.36e-06,9.1e-05
"A2","CC6","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_96","SAR92_clade (100); ESV_96",0.047812,0.018688,2.6,0.1223,0.000193,0.00214
"A2","CC6","Oceanospirillales (100); Pseudohongiellaceae (100); Pseudohongiella (100); ESV_107","Pseudohongiella (100); ESV_107",0.017532,0.007349,2.4,0.0418,0.0012,0.0106
"B1","CC1","Chitinivibrionales (18); Chitinivibrionaceae (18); Chitinivibrio (18); ESV_9969","Chitinivibrio (18); ESV_9969",0.000509,4e-06,108.6,0.0553,2.11e-08,6.26e-07
"B1","CC1","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_338","NS9_marine_group_ge (100); ESV_338",0.000481,2.3e-05,20.5,0.0098,5.19e-07,1.09e-05
"B1","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Lutimonas (100); ESV_3021","Lutimonas (100); ESV_3021",0.000566,3.5e-05,15.6,0.0088,0.00242,0.0198
"B1","CC1","Flavobacteriales (100); NS7_marine_group (100); NS7_marine_group_ge (100); ESV_777","NS7_marine_group_ge (100); ESV_777",0.001226,0.000193,6.3,0.0077,5.05e-11,2.6e-09
"B1","CC1","Desulfuromonadales (100); Sva1033 (100); Sva1033_ge (100); ESV_278","Sva1033_ge (100); ESV_278",0.001026,0.000192,5.3,0.0055,1.88e-07,4.48e-06
"B1","CC1","Bacteroidales (100); Marinifilaceae (100); uncultured (100); ESV_4665","uncultured (100); ESV_4665",0.000367,3.2e-05,11.1,0.0041,2.73e-05,0.00038
"B1","CC1","Flavobacteriales (76); NS9_marine_group (33); NS9_marine_group_ge (33); ESV_10064","NS9_marine_group_ge (33); ESV_10064",0.00024,2.2e-05,10.6,0.0025,0.000257,0.00273
"B1","CC1","Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (85); ESV_864","Fluviicola (85); ESV_864",0.000718,0.000272,2.6,0.0019,0.000289,0.00301
"B1","CC1","Myxococcales (100); Sandaracinaceae (100); uncultured (100); ESV_1012","uncultured (100); ESV_1012",0.000126,4.8e-05,2.6,3e-04,0.00671,0.0495
"B1","CC2","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_220","NS4_marine_group (100); ESV_220",0.013103,0.003037,4.3,0.0565,1.95e-10,9.31e-09
"B1","CC2","Flavobacteriales (100); Flavobacteriaceae (100); Tenacibaculum (92); ESV_418","Tenacibaculum (92); ESV_418",0.009176,0.002335,3.9,0.0361,2.24e-08,6.57e-07
"B1","CC2","Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (80); ESV_1629","Fluviicola (80); ESV_1629",0.000986,5.4e-05,17.9,0.0177,0.00104,0.00931
"B1","CC2","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_432","NS9_marine_group_ge (100); ESV_432",0.004112,0.000977,4.2,0.0173,8.91e-09,3.03e-07
"B1","CC2","Parvibaculales (100); OCS116_clade (100); OCS116_clade_ge (100); ESV_376","OCS116_clade_ge (100); ESV_376",0.005365,0.00172,3.1,0.0167,2.77e-08,7.69e-07
"B1","CC2","Flavobacteriales (96); NS9_marine_group (92); NS9_marine_group_ge (92); ESV_238","NS9_marine_group_ge (92); ESV_238",0.005993,0.002535,2.4,0.0142,4e-07,8.68e-06
"B1","CC2","Rhodobacterales (100); Rhodobacteraceae (100); Litoreibacter (98); ESV_653","Litoreibacter (98); ESV_653",0.001136,9.1e-05,12.3,0.014,0.000227,0.0025
"B1","CC2","Rhodobacterales (100); Rhodobacteraceae (100); uncultured (94); ESV_792","uncultured (94); ESV_792",0.001553,0.000306,5.1,0.0079,0.000176,0.00197
"B1","CC2","Marinimicrobia_(SAR406_clade)_or (100); Marinimicrobia_(SAR406_clade)_fa (100); Marinimicrobia_(SAR406_clade)_ge (100); ESV_829","Marinimicrobia_(SAR406_clade)_ge (100); ESV_829",0.000908,0.000199,4.5,0.0041,2.15e-07,5e-06
"B1","CC2","Cellvibrionales (92); Cellvibrionaceae (88); Cellvibrionaceae_ge (13); ESV_11272","Cellvibrionaceae_ge (13); ESV_11272",0.000153,5e-06,26.8,0.0041,0.000301,0.00308
"B1","CC5","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_626","SAR92_clade (100); ESV_626",0.007679,0.003553,2.2,0.0166,0.000181,0.00202
"B1","CC5","Flavobacteriales (93); Flavobacteriaceae (93); Lutibacter (50); ESV_526","Lutibacter (50); ESV_526",0.003395,0.001458,2.3,0.0079,0.00112,0.00997
"B1","CC5","Chitinophagales (100); Saprospiraceae (100); uncultured (100); ESV_280","uncultured (100); ESV_280",0.001573,0.000652,2.4,0.0038,0.000785,0.00728
"B1","CC6","Thiomicrospirales (100); Thioglobaceae (100); SUP05_cluster (100); ESV_10","SUP05_cluster (100); ESV_10",0.051286,0.019882,2.6,0.1323,7.76e-05,0.000953
"B1","CC6","Verrucomicrobiales (100); Rubritaleaceae (100); Persicirhabdus (100); ESV_190","Persicirhabdus (100); ESV_190",0.026182,0.011145,2.3,0.0615,0.00105,0.0094
"B2a","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_3 (65); ESV_1036","Polaribacter_3 (65); ESV_1036",0.002903,0,2904.1,8.4307,1.16e-12,9.04e-11
"B2a","CC1","Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_4334","uncultured (100); ESV_4334",0.000968,4e-06,178.1,0.1724,2.11e-08,6.26e-07
"B2a","CC1","Flavobacteriales (99); NS9_marine_group (88); NS9_marine_group_ge (88); ESV_6004","NS9_marine_group_ge (88); ESV_6004",0.000907,6e-06,131.6,0.1194,0.000301,0.00308
"B2a","CC1","Oceanospirillales (100); Pseudohongiellaceae (100); Pseudohongiella (100); ESV_9385","Pseudohongiella (100); ESV_9385",0.000488,1.1e-05,39.4,0.0192,0.000301,0.00308
"B2a","CC1","Chitinophagales (94); Saprospiraceae (94); Rubidimonas (70); ESV_2698","Rubidimonas (70); ESV_2698",0.000712,6.1e-05,11.5,0.0082,2.21e-05,0.000316
"B2a","CC1","Arenicellales (99); Arenicellaceae (99); Arenicella (99); ESV_825","Arenicella (99); ESV_825",0.001128,0.000269,4.2,0.0047,3.47e-07,7.65e-06
"B2a","CC1","Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (85); ESV_864","Fluviicola (85); ESV_864",0.001038,0.000238,4.3,0.0045,0.00245,0.0199
"B2a","CC1","Cellvibrionales (100); Halieaceae (100); Halioglobus (95); ESV_1234","Halioglobus (95); ESV_1234",0.001176,0.000342,3.4,0.004,0.000538,0.00535
