"cluster","ASV","short_name","mean_in","mean_out","ratio","padj"
"B2b","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (93); ESV_354","Polaribacter (93); ESV_354",0.001146,0.000169,6.7,0.0013
"B2b","Cellvibrionales (100); Spongiibacteraceae (100); BD1-7_clade (100); ESV_1132","BD1-7_clade (100); ESV_1132",0.000216,3.2e-05,6.5,0.0136
"B2b","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (90); ESV_322","Polaribacter_1 (90); ESV_322",0.009418,0.001522,6.2,1.14e-09
"B2b","Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_709","NS11-12_marine_group_ge (100); ESV_709",0.010619,0.001854,5.7,2.04e-10
"B2b","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_622","NS4_marine_group (100); ESV_622",0.004832,0.000942,5.1,2.17e-12
"B2b","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_361","SAR92_clade (100); ESV_361",0.004775,0.001042,4.6,6.94e-06
"C1a","Flavobacteriales (100); Flavobacteriaceae (100); Dokdonia (98); ESV_2131","Dokdonia (98); ESV_2131",0.000289,2e-06,99.3,0.000731
"C1a","Kiritimatiellales (100); Kiritimatiellaceae (100); R76-B128 (100); ESV_2333","R76-B128 (100); ESV_2333",0.000701,1.1e-05,60.4,0.000731
"C1a","Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (100); ESV_210","Fluviicola (100); ESV_210",0.001927,6.6e-05,28.7,6.71e-14
"C1a","Nitrosopumilales (100); Nitrosopumilaceae (100); Candidatus_Nitrosopumilus (100); ESV_910","Candidatus_Nitrosopumilus (100); ESV_910",0.001499,5.7e-05,26,3.27e-05
"C1a","Flavobacteriales (100); Flavobacteriaceae (100); Lutimonas (100); ESV_1235","Lutimonas (100); ESV_1235",0.002061,8.9e-05,22.9,0.0219
"C1a","Flavobacteriales (100); Flavobacteriaceae (100); Lutimonas (56); ESV_1019","Lutimonas (56); ESV_1019",0.001308,7.8e-05,16.6,0.000133
"C1a","Cellvibrionales (100); Halieaceae (100); Halioglobus (99); ESV_1882","Halioglobus (99); ESV_1882",0.001519,1e-04,15.1,0.00649
"C1a","Alteromonadales (100); Psychromonadaceae (100); Psychromonas (100); ESV_559","Psychromonas (100); ESV_559",0.003485,0.000329,10.6,6.98e-07
"C1a","Flavobacteriales (96); NS9_marine_group (92); NS9_marine_group_ge (92); ESV_238","NS9_marine_group_ge (92); ESV_238",0.016497,0.001717,9.6,8.37e-10
"C1a","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_266","NS9_marine_group_ge (100); ESV_266",0.012783,0.001423,9,4.45e-11
"C1b","Pirellulales (100); Pirellulaceae (100); Blastopirellula (100); ESV_2431","Blastopirellula (100); ESV_2431",0.002557,0,2558.1,4.46e-15
"C1b","Nostocales (5); Phormidiaceae (4); Trichodesmium_IMS101 (4); ESV_3693","Trichodesmium_IMS101 (4); ESV_3693",0.002399,0,2399.9,7.05e-14
"C1b","Enterobacteriales (12); Enterobacteriaceae (12); endosymbionts2 (7); ESV_967","endosymbionts2 (7); ESV_967",0.000928,0,928.8,4.77e-06
"C1b","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_1859","SAR86_clade_ge (100); ESV_1859",0.000499,0,500,5.58e-05
"C1b","Clostridiales (15); Lachnospiraceae (9); probable_genus_10 (2); ESV_7663","probable_genus_10 (2); ESV_7663",0.000496,0,497.3,0.000623
"C1b","Nitrospinales (100); Nitrospinaceae (100); LS-NOB (79); ESV_1069","LS-NOB (79); ESV_1069",0.000467,0,468.3,5.58e-05
"C1b","Thiotrichales (2); Thiotrichaceae (2); uncultured (2); ESV_1880","uncultured (2); ESV_1880",0.000439,0,440.4,4.09e-07
"C1b","Micavibrionales (84); Micavibrionaceae (83); uncultured (82); ESV_8329","uncultured (82); ESV_8329",0.000313,0,313.8,5.58e-05
"C1b","Bdellovibrionales (96); Bdellovibrionaceae (96); OM27_clade (96); ESV_2031","OM27_clade (96); ESV_2031",0.000224,0,224.5,0.000623
"C1b","Chitinophagales (100); Saprospiraceae (99); Aureispira (99); ESV_789","Aureispira (99); ESV_789",0.001027,4e-06,212.8,4.01e-08
"C2a","Betaproteobacteriales (100); Methylophilaceae (100); OM43_clade (88); ESV_2652","OM43_clade (88); ESV_2652",0.00393,0,3930.8,2.17e-12
"C2a","Nostocales (100); Microcystaceae (100); Atelocyanobacterium_(UCYN-A) (99); ESV_2177","Atelocyanobacterium_(UCYN-A) (99); ESV_2177",0.00099,0,991.5,1.82e-09
"C2a","Opitutales (100); Opitutaceae (94); Diplosphaera (66); ESV_1076","Diplosphaera (66); ESV_1076",0.000908,0,908.7,1.78e-15
"C2a","Opitutales (98); Puniceicoccaceae (94); Pelagicoccus (93); ESV_931","Pelagicoccus (93); ESV_931",0.000513,0,513.9,1.82e-09
"C2a","JGI_0000069-P22 (18); JGI_0000069-P22_fa (18); JGI_0000069-P22_ge (18); ESV_1333","JGI_0000069-P22_ge (18); ESV_1333",0.002389,7e-06,297.5,8.65e-20
"C2a","Rhodospirillales (100); Magnetospiraceae (100); uncultured (100); ESV_844","uncultured (100); ESV_844",0.004957,5.5e-05,89,1.89e-23
"C2a","Thiotrichales (100); Thiotrichaceae (100); uncultured (100); ESV_1077","uncultured (100); ESV_1077",0.000941,1.3e-05,67.2,1.06e-15
"C2a","Oceanospirillales (100); Litoricolaceae (100); Litoricola (100); ESV_1803","Litoricola (100); ESV_1803",0.003875,6.1e-05,62,4.52e-24
"C2a","Cytophagales (93); Cyclobacteriaceae (58); uncultured (36); ESV_3179","uncultured (36); ESV_3179",0.000762,1.4e-05,52.2,1.03e-05
"C2a","Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_257","NS5_marine_group (100); ESV_257",0.009338,0.000237,39.3,8.58e-18
"C2b1","Flavobacteriales (100); Flavobacteriaceae (100); Formosa (62); ESV_565","Formosa (62); ESV_565",0.010028,9.9e-05,100.5,4.09e-07
"C2b1","Tenderiales (94); Tenderiaceae (94); Candidatus_Tenderia (94); ESV_2955","Candidatus_Tenderia (94); ESV_2955",0.001043,5.5e-05,18.7,0.000415
"C2b1","Flavobacteriales (100); Flavobacteriaceae (100); NS3a_marine_group (98); ESV_387","NS3a_marine_group (98); ESV_387",0.007952,0.000511,15.5,2.04e-06
"C2b1","Rickettsiales (5); Anaplasmataceae (1); Wolbachia (1); ESV_1127","Wolbachia (1); ESV_1127",0.004897,0.000326,15,0.0185
"C2b1","Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (62); ESV_101","NS5_marine_group (62); ESV_101",0.054736,0.004642,11.8,5.57e-09
"C2b1","Nitrosopumilales (100); Nitrosopumilaceae (100); Candidatus_Nitrosopumilus (100); ESV_36","Candidatus_Nitrosopumilus (100); ESV_36",0.000818,8.1e-05,10,0.0025
"C2b1","Betaproteobacteriales (100); Burkholderiaceae (81); RS62_marine_group (51); ESV_288","RS62_marine_group (51); ESV_288",0.013195,0.001439,9.2,9.41e-09
"C2b1","Flavobacteriales (100); Cryomorphaceae (100); NS10_marine_group (100); ESV_1155","NS10_marine_group (100); ESV_1155",0.009444,0.001714,5.5,1.04e-05
"C2b1","Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (99); ESV_15","OM60(NOR5)_clade (99); ESV_15",0.024505,0.004809,5.1,4.02e-07
"C2b1","Flavobacteriales (100); Flavobacteriaceae (100); NS2b_marine_group (100); ESV_148","NS2b_marine_group (100); ESV_148",0.007251,0.001458,5,7.32e-06
"C2b2","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_1752","NS9_marine_group_ge (100); ESV_1752",0.000446,0,446.9,0.000468
"C2b2","OM190_or (2); OM190_fa (2); OM190_ge (2); ESV_3157","OM190_ge (2); ESV_3157",0.000108,0,108.6,0.000468
"C2b2","Flavobacteriales (97); Cryomorphaceae (88); NS10_marine_group (88); ESV_8708","NS10_marine_group (88); ESV_8708",0.000385,4e-06,80.3,0.00555
"C2b2","Sphingobacteriales (90); NS11-12_marine_group (84); NS11-12_marine_group_ge (84); ESV_1679","NS11-12_marine_group_ge (84); ESV_1679",0.000114,2e-06,40.7,0.000495
"C2b2","Flavobacteriales (76); Cryomorphaceae (27); uncultured (21); ESV_1451","uncultured (21); ESV_1451",0.002317,9.6e-05,24,2.06e-11
"C2b2","Betaproteobacteriales (100); Methylophilaceae (100); Methylotenera (99); ESV_568","Methylotenera (99); ESV_568",0.007586,0.000868,8.7,8.51e-17
"C2b2","Chromatiales (65); Sedimenticolaceae (65); uncultured (65); ESV_208","uncultured (65); ESV_208",0.000776,0.000108,7.1,7.38e-07
"C2b2","Kordiimonadales (100); uncultured (100); uncultured_ge (100); ESV_264","uncultured_ge (100); ESV_264",0.002995,0.000453,6.6,3.33e-09
"C2b2","Microtrichales (100); Microtrichaceae (100); Sva0996_marine_group (100); ESV_343","Sva0996_marine_group (100); ESV_343",0.00062,9.4e-05,6.5,7.45e-07
"C2b2","SAR324_clade(Marine_group_B) (100); SAR324_clade(Marine_group_B)_fa (100); SAR324_clade(Marine_group_B)_ge (100); ESV_610","SAR324_clade(Marine_group_B)_ge (100); ESV_610",0.000479,1e-04,4.7,0.0391
