"cluster","rank","ASV","mean_RA"
"C1a",2,"Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (99); ESV_9",0.0577513378342017
"C1a",3,"Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_34",0.0552427798322265
"C1a",4,"Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_26",0.0505239427170579
"C1a",5,"Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30",0.040270679990614
"C1a",6,"Verrucomicrobiales (100); Rubritaleaceae (100); Persicirhabdus (100); ESV_190",0.0371341039091026
"C1a",7,"Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_68",0.0358582819760522
"C1a",8,"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (94); ESV_7",0.0338872878186863
"C1a",9,"Flavobacteriales (100); Flavobacteriaceae (100); Formosa (83); ESV_6",0.0327559079543098
"C1a",10,"Flavobacteriales (100); Flavobacteriaceae (100); Tenacibaculum (59); ESV_48",0.0326654923174872
"C1b",1,"Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_4",0.106041825692734
"C1b",2,"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (94); ESV_7",0.0747629565230348
"C1b",3,"SAR11_clade (100); Clade_I (100); Clade_Ia (100); ESV_1",0.0707833624598236
"C1b",4,"Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (99); ESV_9",0.0671879158030633
"C1b",5,"Thiomicrospirales (100); Thioglobaceae (100); SUP05_cluster (100); ESV_10",0.0564489931126035
"C1b",6,"Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_34",0.0455862006824768
"C1b",7,"Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_26",0.0408208059682187
"C1b",8,"Flavobacteriales (100); Flavobacteriaceae (100); Formosa (83); ESV_6",0.0342108468134183
"C1b",9,"Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30",0.0253701088305297
"C1b",10,"Flavobacteriales (100); Cryomorphaceae (100); uncultured (100); ESV_32",0.0247942818937997
"C2a",1,"SAR11_clade (100); Clade_I (100); Clade_Ia (100); ESV_1",0.185644345984079
"C2a",2,"Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_4",0.12031462289652
"C2a",3,"SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8",0.0420477786646515
"C2a",4,"Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30",0.030736583440497
"C2a",5,"Flavobacteriales (100); Flavobacteriaceae (100); Formosa (83); ESV_6",0.029029227413259
"C2a",6,"Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (99); ESV_9",0.0271024273502675
"C2a",7,"Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (100); ESV_94",0.0251900306034462
"C2a",8,"Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_29",0.0245663712586709
"C2a",9,"OM182_clade (99); OM182_clade_fa (99); OM182_clade_ge (99); ESV_72",0.0243451427668305
"C2a",10,"Thiomicrospirales (100); Thioglobaceae (100); SUP05_cluster (100); ESV_10",0.024258658443583
"C2b1",1,"Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_4",0.13714346085024
"C2b1",2,"OM182_clade (99); OM182_clade_fa (99); OM182_clade_ge (99); ESV_72",0.0694446438917956
"C2b1",3,"Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30",0.0613323849093629
"C2b1",4,"Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (62); ESV_101",0.0547355317539617
"C2b1",5,"Flavobacteriales (100); Flavobacteriaceae (100); Formosa (83); ESV_6",0.0443761258405987
"C2b1",6,"Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_68",0.0443625910232384
"C2b1",7,"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (94); ESV_7",0.0420820599213193
"C2b1",8,"Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_26",0.0404899531526894
"C2b1",9,"Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_76",0.0369220569940653
"C2b1",10,"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_96",0.0299933801292915
"C2b2",1,"Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_4",0.200368077770242
"C2b2",2,"Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (99); ESV_9",0.061869485622733
"C2b2",3,"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (94); ESV_7",0.0565400784704449
"C2b2",4,"SAR11_clade (100); Clade_I (100); Clade_Ia (100); ESV_1",0.0563688147012046
"C2b2",5,"Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_26",0.0347693569861999
"C2b2",6,"Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30",0.0263635992657059
"C2b2",7,"OM182_clade (99); OM182_clade_fa (99); OM182_clade_ge (99); ESV_72",0.025636298539428
"C2b2",8,"Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_76",0.0250856547801372
"C2b2",9,"Flavobacteriales (100); Flavobacteriaceae (100); Formosa (83); ESV_6",0.0245981318099291
"C2b2",10,"Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_68",0.0245307963728468
