"s.1","s.2","s.3","s.4","s.5","s.6","s.7","s.8","s.9","s.10","index","stat","p.value","ASV","indicator_cluster"
1,1,0,0,0,0,0,1,0,0,61,0.758676651485521,0.001,"Oceanospirillales (100); Pseudohongiellaceae (100); Pseudohongiella (100); ESV_147","1+2+8"
0,0,0,0,0,1,0,1,1,0,169,0.827246576681994,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); NS2b_marine_group (100); ESV_148","6+8+9"
0,0,0,1,0,0,0,1,0,0,38,0.726079689634991,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_149","4+8"
0,0,0,0,0,0,0,1,0,0,8,0.773533479763155,0.001,"SAR11_clade (100); Clade_III (100); Clade_III_ge (100); ESV_151","8"
0,0,0,0,0,1,0,1,1,1,384,0.649819830415396,0.001,"Nitrosococcales (88); Methylophagaceae (88); uncultured (78); ESV_156","6+8+9+10"
0,0,0,0,0,0,0,1,0,0,8,0.769463913665657,0.001,"Rhodospirillales (100); AEGEAN-169_marine_group (100); AEGEAN-169_marine_group_ge (100); ESV_168","8"
1,1,1,1,1,1,1,1,0,1,1014,0.949977850779629,0.001,"Cellvibrionales (100); Spongiibacteraceae (100); uncultured (91); ESV_174","1+2+3+4+5+6+7+8+10"
0,0,0,1,0,0,0,1,0,0,38,0.61332449710708,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (70); ESV_196","4+8"
0,0,0,0,0,1,1,1,0,1,382,0.874976170835528,0.001,"Rhodobacterales (100); Rhodobacteraceae (100); Ascidiaceihabitans (98); ESV_198","6+7+8+10"
0,0,1,1,1,1,1,1,1,1,1012,0.974189194144167,0.001,"Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (88); ESV_201","3+4+5+6+7+8+9+10"
0,0,0,0,0,1,0,0,0,0,6,0.647514988131584,0.001,"Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (100); ESV_210","6"
0,1,0,0,0,1,0,1,1,1,580,0.89188051129638,0.001,"Cytophagales (100); Cyclobacteriaceae (100); Marinoscillum (100); ESV_217","2+6+8+9+10"
0,0,1,0,0,1,1,0,0,0,131,0.818189756165191,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_220","3+6+7"
0,0,0,0,0,1,1,1,0,1,382,0.685994340570035,0.001,"Microtrichales (100); Ilumatobacteraceae (100); Ilumatobacter (100); ESV_221","6+7+8+10"
0,0,1,0,0,1,0,0,0,0,30,0.847454148767739,0.001,"Flavobacteriales (96); NS9_marine_group (92); NS9_marine_group_ge (92); ESV_238","3+6"
0,0,0,0,0,0,0,1,0,0,8,0.893818451038915,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_257","8"
1,0,0,1,1,0,0,0,1,0,228,0.716883665847231,0.001,"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_261","1+4+5+9"
0,0,0,0,0,1,0,1,1,1,384,0.892885829176118,0.001,"Rhodospirillales (54); Magnetospiraceae (40); uncultured (27); ESV_262","6+8+9+10"
0,0,1,0,0,0,1,0,0,0,31,0.66502829104151,0.001,"Nitrosopumilales (100); Nitrosopumilaceae (100); Candidatus_Nitrosopumilus (100); ESV_263","3+7"
0,0,0,0,0,0,0,1,0,1,54,0.797812316849174,0.001,"Kordiimonadales (100); uncultured (100); uncultured_ge (100); ESV_264","8+10"
0,0,0,0,0,1,1,0,1,0,167,0.773964902417502,0.001,"Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_266","6+7+9"
0,0,1,0,1,1,0,0,0,0,126,0.566969788991968,0.001,"Desulfuromonadales (100); Sva1033 (100); Sva1033_ge (100); ESV_278","3+5+6"
0,0,1,1,0,0,0,1,0,0,123,0.70220866769177,0.001,"Chitinophagales (100); Saprospiraceae (100); uncultured (100); ESV_280","3+4+8"
0,0,0,0,0,1,0,0,1,1,171,0.899457480375877,0.001,"Betaproteobacteriales (100); Burkholderiaceae (81); RS62_marine_group (51); ESV_288","6+9+10"
0,0,0,0,0,0,1,1,1,1,385,0.885434176420439,0.001,"Flavobacteriales (100); NS9_marine_group (94); NS9_marine_group_ge (94); ESV_302","7+8+9+10"
1,1,1,1,0,0,0,1,0,0,389,0.788006057525905,0.001,"OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_314","1+2+3+4+8"
0,0,0,0,1,0,0,0,1,1,165,0.588119716486953,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (90); ESV_322","5+9+10"
0,1,0,0,0,0,0,1,0,0,25,0.640099570216865,0.001,"Chthoniobacterales (100); Chthoniobacteraceae (82); LD29 (82); ESV_327","2+8"
0,0,0,1,1,0,0,1,1,0,358,0.789917357375479,0.001,"Flavobacteriales (98); Flavobacteriaceae (98); Lutimonas (36); ESV_347","4+5+8+9"
0,0,0,1,1,0,0,0,0,0,35,0.6693844585338,0.001,"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_361","4+5"
0,0,0,0,0,1,1,0,1,1,383,0.640001344780436,0.001,"Betaproteobacteriales (100); Methylophilaceae (100); OM43_clade (100); ESV_370","6+7+9+10"
1,0,1,0,0,1,1,0,0,0,215,0.8456037059831,0.001,"Parvibaculales (100); OCS116_clade (100); OCS116_clade_ge (100); ESV_376","1+3+6+7"
0,0,0,0,0,0,0,1,0,0,8,0.829519366535848,0.001,"Cellvibrionales (100); Porticoccaceae (100); Porticoccus (100); ESV_377","8"
0,0,0,0,0,0,0,1,1,1,175,0.738384593707281,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); NS3a_marine_group (98); ESV_387","8+9+10"
0,0,1,0,1,0,1,0,0,0,127,0.750717542044878,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); Tenacibaculum (92); ESV_418","3+5+7"
0,0,0,0,0,1,0,1,0,0,47,0.749817715497582,0.001,"uncultured (100); uncultured_fa (100); uncultured_ge (100); ESV_425","6+8"
0,0,1,0,0,1,1,0,0,0,131,0.698111067236035,0.001,"Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_432","3+6+7"
1,0,1,0,0,1,1,0,0,0,215,0.774805072048035,0.001,"Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (100); ESV_457","1+3+6+7"
1,1,1,1,1,1,0,1,1,1,1016,0.702984829368896,0.001,"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_478","1+2+3+4+5+6+8+9+10"
0,0,0,0,0,0,1,0,0,1,52,0.582222509739582,0.001,"Alteromonadales (100); Colwelliaceae (100); Colwellia (100); ESV_479","7+10"
0,0,0,0,0,0,1,0,0,0,7,0.632300619102765,0.001,"Thiotrichales (92); Thiotrichaceae (92); Thiotrichaceae_ge (92); ESV_488","7"
0,0,0,0,0,1,1,1,0,1,382,0.794202707103992,0.001,"Flavobacteriales (53); Cryomorphaceae (44); uncultured (43); ESV_504","6+7+8+10"
0,0,1,1,1,1,1,1,0,0,820,0.564164347985774,0.001,"Flavobacteriales (93); Flavobacteriaceae (93); Lutibacter (50); ESV_526","3+4+5+6+7+8"
0,0,1,1,1,1,0,1,0,1,824,0.689306027230522,0.001,"Flavobacteriales (100); Cryomorphaceae (100); uncultured (100); ESV_541","3+4+5+6+8+10"
1,1,1,1,1,1,0,1,0,0,849,0.724874865321079,0.001,"Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (50); ESV_544","1+2+3+4+5+6+8"
0,0,0,0,0,1,1,0,0,0,46,0.606057529209016,0.001,"Alteromonadales (100); Psychromonadaceae (100); Psychromonas (100); ESV_559","6+7"
0,0,0,0,0,0,0,0,1,0,9,0.486243813792365,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); Formosa (62); ESV_565","9"
0,0,0,0,0,0,0,0,1,1,55,0.856365111264046,0.001,"Betaproteobacteriales (100); Methylophilaceae (100); Methylotenera (99); ESV_568","9+10"
1,1,1,1,1,1,0,1,0,1,972,0.853696685776189,0.001,"Cellvibrionales (63); Halieaceae (49); Luminiphilus (27); ESV_601","1+2+3+4+5+6+8+10"
0,0,0,0,0,0,0,1,0,0,8,0.63797091656761,0.001,"Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (92); ESV_604","8"
0,0,0,0,1,0,0,0,0,1,45,0.710501923369318,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_622","5+10"
1,1,1,1,1,1,0,0,0,0,638,0.633863282423884,0.001,"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_626","1+2+3+4+5+6"
0,0,0,0,0,1,0,1,0,0,47,0.684056469679616,0.001,"Opitutales (100); Puniceicoccaceae (100); MB11C04_marine_group (100); ESV_652","6+8"
0,0,0,0,0,0,0,1,0,0,8,0.717125866580081,0.001,"NB1-j (98); NB1-j_fa (98); NB1-j_ge (98); ESV_661","8"
0,0,0,1,1,0,0,0,1,0,144,0.727867195464243,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (85); ESV_676","4+5+9"
0,0,1,0,1,0,0,0,0,1,130,0.727854823120259,0.001,"Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_709","3+5+10"
0,0,0,0,0,0,1,0,1,1,174,0.675169893700988,0.001,"Nitrosococcales (96); Methylophagaceae (96); uncultured (80); ESV_763","7+9+10"
0,0,1,0,1,0,1,0,0,1,337,0.594703574846231,0.001,"Chitinophagales (100); Saprospiraceae (100); Portibacter (83); ESV_767","3+5+7+10"
0,0,1,0,0,0,0,0,0,0,3,0.586335988204124,0.001,"Flavobacteriales (100); NS7_marine_group (100); NS7_marine_group_ge (100); ESV_777","3"
0,0,0,0,0,0,1,0,0,0,7,0.506315688034289,0.001,"Chitinophagales (100); Saprospiraceae (99); Aureispira (99); ESV_789","7"
1,0,1,1,0,0,1,0,0,0,206,0.510170532864002,0.001,"Rhodobacterales (100); Rhodobacteraceae (100); uncultured (94); ESV_792","1+3+4+7"
0,0,0,0,0,0,1,0,0,0,7,0.656628124782628,0.001,"Verrucomicrobiales (100); Rubritaleaceae (100); Roseibacillus (100); ESV_800","7"
0,0,0,0,0,0,0,1,0,0,8,0.633599883600747,0.001,"Phycisphaerales (100); Phycisphaeraceae (100); Urania-1B-19_marine_sediment_group (79); ESV_802","8"
0,1,0,0,0,0,0,0,0,0,2,0.657817975873527,0.001,"uncultured (53); uncultured_fa (53); uncultured_ge (53); ESV_804","2"
0,0,1,0,0,0,1,0,0,0,31,0.615954214053677,0.001,"Marinimicrobia_(SAR406_clade)_or (100); Marinimicrobia_(SAR406_clade)_fa (100); Marinimicrobia_(SAR406_clade)_ge (100); ESV_829","3+7"
0,0,0,0,0,1,1,0,0,0,46,0.476731294622796,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_837","6+7"
0,0,0,0,0,0,0,1,0,0,8,0.904800859592403,0.001,"Rhodospirillales (100); Magnetospiraceae (100); uncultured (100); ESV_844","8"
0,0,0,0,0,0,1,0,0,0,7,0.878743659322874,0.001,"Mycoplasmatales (8); Mycoplasmataceae (8); uncultured (5); ESV_889","7"
0,0,0,0,0,0,0,1,0,0,8,0.5,0.001,"Opitutales (98); Puniceicoccaceae (94); Pelagicoccus (93); ESV_931","8"
0,0,1,1,1,1,0,0,0,1,585,0.764044063955191,0.001,"Flavobacteriales (100); Cryomorphaceae (100); uncultured (100); ESV_959","3+4+5+6+10"
0,0,0,0,0,0,1,0,0,0,7,0.634750106552999,0.001,"Cytophagales (30); Cyclobacteriaceae (30); Fabibacter (25); ESV_1027","7"
0,0,0,0,0,0,0,1,0,0,8,0.759874111334284,0.001,"Spirochaetales (5); Spirochaetaceae (5); uncultured (5); ESV_1032","8"
0,0,0,1,0,0,0,0,0,0,4,0.54232614454664,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_3 (65); ESV_1036","4"
0,0,0,0,0,0,0,1,0,0,8,0.645497224367903,0.001,"Opitutales (100); Opitutaceae (94); Diplosphaera (66); ESV_1076","8"
0,0,0,0,0,0,0,1,0,0,8,0.646918985694299,0.001,"Thiotrichales (100); Thiotrichaceae (100); uncultured (100); ESV_1077","8"
0,0,0,0,0,0,1,0,0,0,7,0.749319112737676,0.001,"Gammaproteobacteria_Incertae_Sedis (6); Unknown_Family (6); Candidatus_Carsonella (6); ESV_1088","7"
