"cluster","ASV","short_name","mean_in","mean_out","ratio","pval","padj"
"C1b","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_266","NS9_marine_group_ge (100); ESV_266",0.004104,0.001943,2.1,1.2e-07,3.03e-06
"C2a","Betaproteobacteriales (100); Methylophilaceae (100); OM43_clade (88); ESV_2652","OM43_clade (88); ESV_2652",0.00393,0,3930.8,2.06e-14,2.17e-12
"C2a","Nostocales (100); Microcystaceae (100); Atelocyanobacterium_(UCYN-A) (99); ESV_2177","Atelocyanobacterium_(UCYN-A) (99); ESV_2177",0.00099,0,991.5,3.44e-11,1.82e-09
"C2a","Opitutales (100); Opitutaceae (94); Diplosphaera (66); ESV_1076","Diplosphaera (66); ESV_1076",0.000908,0,908.7,1.17e-17,1.78e-15
"C2a","Opitutales (98); Puniceicoccaceae (94); Pelagicoccus (93); ESV_931","Pelagicoccus (93); ESV_931",0.000513,0,513.9,3.44e-11,1.82e-09
"C2a","JGI_0000069-P22 (18); JGI_0000069-P22_fa (18); JGI_0000069-P22_ge (18); ESV_1333","JGI_0000069-P22_ge (18); ESV_1333",0.002389,7e-06,297.5,2.01e-22,8.65e-20
"C2a","Rhodospirillales (100); Magnetospiraceae (100); uncultured (100); ESV_844","uncultured (100); ESV_844",0.004957,5.5e-05,89,1.46e-26,1.89e-23
"C2a","Thiotrichales (100); Thiotrichaceae (100); uncultured (100); ESV_1077","uncultured (100); ESV_1077",0.000941,1.3e-05,67.2,6.55e-18,1.06e-15
"C2a","Oceanospirillales (100); Litoricolaceae (100); Litoricola (100); ESV_1803","Litoricola (100); ESV_1803",0.003875,6.1e-05,62,1.75e-27,4.52e-24
"C2a","Cytophagales (93); Cyclobacteriaceae (58); uncultured (36); ESV_3179","uncultured (36); ESV_3179",0.000762,1.4e-05,52.2,4.78e-07,1.03e-05
"C2a","Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_257","NS5_marine_group (100); ESV_257",0.009338,0.000237,39.3,2.66e-20,8.58e-18
"C2a","Spirochaetales (16); Spirochaetaceae (16); uncultured (16); ESV_1728","uncultured (16); ESV_1728",0.001196,3.5e-05,33.5,5.03e-14,4.8e-12
"C2a","Flavobacteriales (98); NS7_marine_group (98); NS7_marine_group_ge (98); ESV_952","NS7_marine_group_ge (98); ESV_952",0.000261,7e-06,32.3,1.25e-05,0.000189
"C2a","Betaproteobacteriales (100); Burkholderiaceae (100); RS62_marine_group (100); ESV_1499","RS62_marine_group (100); ESV_1499",0.005255,0.000185,28.3,8.3e-25,7.14e-22
"C2a","Rhodospirillales (100); AEGEAN-169_marine_group (100); AEGEAN-169_marine_group_ge (100); ESV_168","AEGEAN-169_marine_group_ge (100); ESV_168",0.00516,0.000198,25.9,8.73e-19,1.73e-16
"C2a","Vibrionales (100); Vibrionaceae (100); Aliivibrio (87); ESV_6211","Aliivibrio (87); ESV_6211",0.000158,5e-06,25.3,1.4e-05,0.000207
"C2a","Micrococcales (99); Microbacteriaceae (99); Candidatus_Aquiluna (73); ESV_115","Candidatus_Aquiluna (73); ESV_115",0.012162,0.000511,23.7,4.6e-12,2.97e-10
"C2a","Cellvibrionales (100); Porticoccaceae (100); Porticoccus (100); ESV_377","Porticoccus (100); ESV_377",0.005037,0.000257,19.5,3.29e-18,5.65e-16
"C2a","SAR11_clade (100); Clade_IV (100); Clade_IV_ge (100); ESV_113","Clade_IV_ge (100); ESV_113",0.003412,0.00018,18.9,3.18e-16,4.31e-14
