"pair","F_value","R2","p_value","p_adj","sig"
"A vs B",39.14,0.3231,0.001,0.001,"***"
"A vs C1",48.61,0.4241,0.001,0.001,"***"
"A vs C2",44.33,0.3715,0.001,0.001,"***"
"B vs C1",48.59,0.3226,0.001,0.001,"***"
"B vs C2",47.49,0.2997,0.001,0.001,"***"
"C1 vs C2",21.1,0.1817,0.001,0.001,"***"
