"PC","test","pair","R2","F_value","p_value","sig"
"PC1","PERMANOVA (overall)","A/B/C1/C2",0.2206,16.04,0.001,"***"
"PC1","PERMDISP (overall)","A/B/C1/C2",NA,0.95,0.4166,"ns"
"PC1","Pairwise PERMANOVA","A vs B",0.0302,2.46,0.162,"ns"
"PC1","Pairwise PERMANOVA","A vs C1",0.2558,22.34,0.002,"**"
"PC1","Pairwise PERMANOVA","A vs C2",4e-04,0.03,0.875,"ns"
"PC1","Pairwise PERMANOVA","B vs C1",0.1681,19.81,0.002,"**"
"PC1","Pairwise PERMANOVA","B vs C2",0.0542,6.01,0.024,"*"
"PC1","Pairwise PERMANOVA","C1 vs C2",0.3434,47.59,0.002,"**"
"PC1","Pairwise PERMDISP","A vs B",NA,NA,0.9059,"ns"
"PC1","Pairwise PERMDISP","A vs C1",NA,NA,0.5122,"ns"
"PC1","Pairwise PERMDISP","A vs C2",NA,NA,0.4939,"ns"
"PC1","Pairwise PERMDISP","B vs C1",NA,NA,0.7895,"ns"
"PC1","Pairwise PERMDISP","B vs C2",NA,NA,0.7725,"ns"
"PC1","Pairwise PERMDISP","C1 vs C2",NA,NA,1,"ns"
"PC2","PERMANOVA (overall)","A/B/C1/C2",0.0841,5.2,0.002,"**"
"PC2","PERMDISP (overall)","A/B/C1/C2",NA,3.51,0.0166,"*"
"PC2","Pairwise PERMANOVA","A vs B",0.0957,8.36,0.006,"**"
"PC2","Pairwise PERMANOVA","A vs C1",0.0105,0.69,0.4932,"ns"
"PC2","Pairwise PERMANOVA","A vs C2",0.0839,6.59,0.0195,"*"
"PC2","Pairwise PERMANOVA","B vs C1",0.0842,9.01,0.012,"*"
"PC2","Pairwise PERMANOVA","B vs C2",1e-04,0.01,0.924,"ns"
"PC2","Pairwise PERMANOVA","C1 vs C2",0.0715,7.01,0.012,"*"
"PC2","Pairwise PERMDISP","A vs B",NA,NA,0.0326,"*"
"PC2","Pairwise PERMDISP","A vs C1",NA,NA,0.0147,"*"
"PC2","Pairwise PERMDISP","A vs C2",NA,NA,0.2308,"ns"
"PC2","Pairwise PERMDISP","B vs C1",NA,NA,0.9574,"ns"
"PC2","Pairwise PERMDISP","B vs C2",NA,NA,0.7363,"ns"
"PC2","Pairwise PERMDISP","C1 vs C2",NA,NA,0.4731,"ns"
"PC3","PERMANOVA (overall)","A/B/C1/C2",0.1454,9.64,0.001,"***"
"PC3","PERMDISP (overall)","A/B/C1/C2",NA,1.88,0.1356,"ns"
"PC3","Pairwise PERMANOVA","A vs B",0.2011,19.88,0.003,"**"
"PC3","Pairwise PERMANOVA","A vs C1",0.0012,0.08,0.798,"ns"
"PC3","Pairwise PERMANOVA","A vs C2",0.0831,6.52,0.016,"*"
"PC3","Pairwise PERMANOVA","B vs C1",0.1733,20.54,0.003,"**"
"PC3","Pairwise PERMANOVA","B vs C2",0.0436,4.78,0.0288,"*"
"PC3","Pairwise PERMANOVA","C1 vs C2",0.0626,6.08,0.024,"*"
"PC3","Pairwise PERMDISP","A vs B",NA,NA,0.6403,"ns"
"PC3","Pairwise PERMDISP","A vs C1",NA,NA,0.8886,"ns"
"PC3","Pairwise PERMDISP","A vs C2",NA,NA,0.9733,"ns"
"PC3","Pairwise PERMDISP","B vs C1",NA,NA,0.0951,"ns"
"PC3","Pairwise PERMDISP","B vs C2",NA,NA,0.7884,"ns"
"PC3","Pairwise PERMDISP","C1 vs C2",NA,NA,0.5031,"ns"
"PC4","PERMANOVA (overall)","A/B/C1/C2",0.0395,2.33,0.085,"ns"
"PC4","PERMDISP (overall)","A/B/C1/C2",NA,1.58,0.1962,"ns"
"PC4","Pairwise PERMANOVA","A vs B",0.0447,3.7,0.1785,"ns"
"PC4","Pairwise PERMANOVA","A vs C1",0.0561,3.86,0.1785,"ns"
"PC4","Pairwise PERMANOVA","A vs C2",0.0149,1.09,0.3744,"ns"
"PC4","Pairwise PERMANOVA","B vs C1",0.0011,0.1,0.764,"ns"
"PC4","Pairwise PERMANOVA","B vs C2",0.0207,2.22,0.1785,"ns"
"PC4","Pairwise PERMANOVA","C1 vs C2",0.0313,2.94,0.1785,"ns"
"PC4","Pairwise PERMDISP","A vs B",NA,NA,0.7977,"ns"
"PC4","Pairwise PERMDISP","A vs C1",NA,NA,0.9634,"ns"
"PC4","Pairwise PERMDISP","A vs C2",NA,NA,0.2279,"ns"
"PC4","Pairwise PERMDISP","B vs C1",NA,NA,0.9601,"ns"
"PC4","Pairwise PERMDISP","B vs C2",NA,NA,0.5641,"ns"
"PC4","Pairwise PERMDISP","C1 vs C2",NA,NA,0.3311,"ns"
"PC5","PERMANOVA (overall)","A/B/C1/C2",0.0225,1.31,0.283,"ns"
"PC5","PERMDISP (overall)","A/B/C1/C2",NA,0.39,0.7569,"ns"
"PC5","Pairwise PERMANOVA","A vs B",0.0316,2.58,0.326,"ns"
"PC5","Pairwise PERMANOVA","A vs C1",0.0291,1.95,0.326,"ns"
"PC5","Pairwise PERMANOVA","A vs C2",0.0021,0.15,0.8184,"ns"
"PC5","Pairwise PERMANOVA","B vs C1",1e-04,0.01,0.91,"ns"
"PC5","Pairwise PERMANOVA","B vs C2",0.0184,1.96,0.326,"ns"
"PC5","Pairwise PERMANOVA","C1 vs C2",0.0148,1.36,0.387,"ns"
"PC5","Pairwise PERMDISP","A vs B",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","A vs C1",NA,NA,0.9044,"ns"
"PC5","Pairwise PERMDISP","A vs C2",NA,NA,0.9372,"ns"
"PC5","Pairwise PERMDISP","B vs C1",NA,NA,0.8045,"ns"
"PC5","Pairwise PERMDISP","B vs C2",NA,NA,0.8585,"ns"
"PC5","Pairwise PERMDISP","C1 vs C2",NA,NA,0.9991,"ns"
"PC6","PERMANOVA (overall)","A/B/C1/C2",0.0524,3.14,0.03,"*"
"PC6","PERMDISP (overall)","A/B/C1/C2",NA,0.99,0.4002,"ns"
"PC6","Pairwise PERMANOVA","A vs B",0.0072,0.57,0.5532,"ns"
"PC6","Pairwise PERMANOVA","A vs C1",0.0327,2.2,0.304,"ns"
"PC6","Pairwise PERMANOVA","A vs C2",0,0,0.976,"ns"
"PC6","Pairwise PERMANOVA","B vs C1",0.0864,9.27,0.012,"*"
"PC6","Pairwise PERMANOVA","B vs C2",0.0103,1.09,0.453,"ns"
"PC6","Pairwise PERMANOVA","C1 vs C2",0.0504,4.83,0.096,"ns"
"PC6","Pairwise PERMDISP","A vs B",NA,NA,0.8294,"ns"
"PC6","Pairwise PERMDISP","A vs C1",NA,NA,0.7955,"ns"
"PC6","Pairwise PERMDISP","A vs C2",NA,NA,0.3434,"ns"
"PC6","Pairwise PERMDISP","B vs C1",NA,NA,0.9992,"ns"
"PC6","Pairwise PERMDISP","B vs C2",NA,NA,0.7089,"ns"
"PC6","Pairwise PERMDISP","C1 vs C2",NA,NA,0.8212,"ns"
"PC7","PERMANOVA (overall)","A/B/C1/C2",0.0264,1.54,0.212,"ns"
"PC7","PERMDISP (overall)","A/B/C1/C2",NA,4.05,0.0083,"**"
"PC7","Pairwise PERMANOVA","A vs B",0.0051,0.4,0.6564,"ns"
"PC7","Pairwise PERMANOVA","A vs C1",0.0443,3.01,0.282,"ns"
"PC7","Pairwise PERMANOVA","A vs C2",2e-04,0.01,0.922,"ns"
"PC7","Pairwise PERMANOVA","B vs C1",0.0129,1.28,0.459,"ns"
"PC7","Pairwise PERMANOVA","B vs C2",0.0092,0.97,0.459,"ns"
"PC7","Pairwise PERMANOVA","C1 vs C2",0.0557,5.37,0.102,"ns"
"PC7","Pairwise PERMDISP","A vs B",NA,NA,0.9654,"ns"
