"PC","test","pair","R2","F_value","p_value","sig"
"PC1","Pairwise PERMDISP","A2 vs C1a",NA,NA,0.9993,"ns"
"PC1","Pairwise PERMDISP","A2 vs C1b1",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","A2 vs C1b2",NA,NA,0.8497,"ns"
"PC1","Pairwise PERMDISP","A2 vs C2a",NA,NA,0.9459,"ns"
"PC1","Pairwise PERMDISP","A2 vs C2b1",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","A2 vs C2b2",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","B1 vs B2a",NA,NA,0.9998,"ns"
"PC1","Pairwise PERMDISP","B1 vs B2b",NA,NA,0.9991,"ns"
"PC1","Pairwise PERMDISP","B1 vs C1a",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","B1 vs C1b1",NA,NA,0.9734,"ns"
"PC1","Pairwise PERMDISP","B1 vs C1b2",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","B1 vs C2a",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","B1 vs C2b1",NA,NA,0.9993,"ns"
"PC1","Pairwise PERMDISP","B1 vs C2b2",NA,NA,0.9888,"ns"
"PC1","Pairwise PERMDISP","B2a vs B2b",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","B2a vs C1a",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","B2a vs C1b1",NA,NA,0.9999,"ns"
"PC1","Pairwise PERMDISP","B2a vs C1b2",NA,NA,0.9975,"ns"
"PC1","Pairwise PERMDISP","B2a vs C2a",NA,NA,0.9996,"ns"
"PC1","Pairwise PERMDISP","B2a vs C2b1",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","B2a vs C2b2",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","B2b vs C1a",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","B2b vs C1b1",NA,NA,0.9999,"ns"
"PC1","Pairwise PERMDISP","B2b vs C1b2",NA,NA,0.989,"ns"
"PC1","Pairwise PERMDISP","B2b vs C2a",NA,NA,0.9985,"ns"
"PC1","Pairwise PERMDISP","B2b vs C2b1",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","B2b vs C2b2",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","C1a vs C1b1",NA,NA,0.9997,"ns"
"PC1","Pairwise PERMDISP","C1a vs C1b2",NA,NA,0.9994,"ns"
"PC1","Pairwise PERMDISP","C1a vs C2a",NA,NA,0.9999,"ns"
"PC1","Pairwise PERMDISP","C1a vs C2b1",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","C1a vs C2b2",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","C1b1 vs C1b2",NA,NA,0.9185,"ns"
"PC1","Pairwise PERMDISP","C1b1 vs C2a",NA,NA,0.9691,"ns"
"PC1","Pairwise PERMDISP","C1b1 vs C2b1",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","C1b1 vs C2b2",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","C1b2 vs C2a",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","C1b2 vs C2b1",NA,NA,0.9939,"ns"
"PC1","Pairwise PERMDISP","C1b2 vs C2b2",NA,NA,0.9379,"ns"
