"PC","test","pair","R2","F_value","p_value","sig"
"PC3","Pairwise PERMDISP","B2b vs C1b2",NA,NA,1,"ns"
"PC3","Pairwise PERMDISP","B2b vs C2a",NA,NA,1,"ns"
"PC3","Pairwise PERMDISP","B2b vs C2b1",NA,NA,0.9937,"ns"
"PC3","Pairwise PERMDISP","B2b vs C2b2",NA,NA,0.9971,"ns"
"PC3","Pairwise PERMDISP","C1a vs C1b1",NA,NA,0.9086,"ns"
"PC3","Pairwise PERMDISP","C1a vs C1b2",NA,NA,0.0074,"**"
"PC3","Pairwise PERMDISP","C1a vs C2a",NA,NA,0.0068,"**"
"PC3","Pairwise PERMDISP","C1a vs C2b1",NA,NA,0.3225,"ns"
"PC3","Pairwise PERMDISP","C1a vs C2b2",NA,NA,0.0522,"ns"
"PC3","Pairwise PERMDISP","C1b1 vs C1b2",NA,NA,0.7419,"ns"
"PC3","Pairwise PERMDISP","C1b1 vs C2a",NA,NA,0.5857,"ns"
"PC3","Pairwise PERMDISP","C1b1 vs C2b1",NA,NA,0.9993,"ns"
"PC3","Pairwise PERMDISP","C1b1 vs C2b2",NA,NA,0.9822,"ns"
"PC3","Pairwise PERMDISP","C1b2 vs C2a",NA,NA,1,"ns"
"PC3","Pairwise PERMDISP","C1b2 vs C2b1",NA,NA,0.994,"ns"
"PC3","Pairwise PERMDISP","C1b2 vs C2b2",NA,NA,0.9974,"ns"
"PC3","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.9584,"ns"
"PC3","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.9694,"ns"
"PC3","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,1,"ns"
"PC4","PERMANOVA (overall)","11 clusters",0.1214,2.25,0.023,"*"
"PC4","PERMDISP (overall)","11 clusters",NA,1.39,0.187,"ns"
"PC4","Pairwise PERMANOVA","A1 vs A2",0.217,6.1,0.165,"ns"
"PC4","Pairwise PERMANOVA","A1 vs B1",0.002,0.05,0.921,"ns"
"PC4","Pairwise PERMANOVA","A1 vs B2a",0.0594,1.45,0.55,"ns"
"PC4","Pairwise PERMANOVA","A1 vs B2b",0.0223,0.73,0.663,"ns"
"PC4","Pairwise PERMANOVA","A1 vs C1a",0.0366,0.8,0.6316,"ns"
"PC4","Pairwise PERMANOVA","A1 vs C1b1",0.0888,1.66,0.55,"ns"
"PC4","Pairwise PERMANOVA","A1 vs C1b2",0,0,0.968,"ns"
"PC4","Pairwise PERMANOVA","A1 vs C2a",0.2272,5.59,0.1729,"ns"
"PC4","Pairwise PERMANOVA","A1 vs C2b1",0.0406,0.8,0.6533,"ns"
"PC4","Pairwise PERMANOVA","A1 vs C2b2",0.0651,2.3,0.4706,"ns"
"PC4","Pairwise PERMANOVA","A2 vs B1",0.2114,7.77,0.165,"ns"
"PC4","Pairwise PERMANOVA","A2 vs B2a",0.1279,4.25,0.2145,"ns"
"PC4","Pairwise PERMANOVA","A2 vs B2b",0.1585,7.16,0.165,"ns"
"PC4","Pairwise PERMANOVA","A2 vs C1a",0.1586,5.09,0.1729,"ns"
"PC4","Pairwise PERMANOVA","A2 vs C1b1",0.0965,2.46,0.4706,"ns"
"PC4","Pairwise PERMANOVA","A2 vs C1b2",0.2247,9.28,0.165,"ns"
"PC4","Pairwise PERMANOVA","A2 vs C2a",0.0579,1.54,0.55,"ns"
"PC4","Pairwise PERMANOVA","A2 vs C2b1",0.1401,4.07,0.31,"ns"
"PC4","Pairwise PERMANOVA","A2 vs C2b2",0.1212,5.38,0.1729,"ns"
"PC4","Pairwise PERMANOVA","B1 vs B2a",0.039,1.22,0.55,"ns"
"PC4","Pairwise PERMANOVA","B1 vs B2b",0.0134,0.53,0.6701,"ns"
"PC4","Pairwise PERMANOVA","B1 vs C1a",0.0191,0.55,0.663,"ns"
"PC4","Pairwise PERMANOVA","B1 vs C1b1",0.0543,1.38,0.55,"ns"
"PC4","Pairwise PERMANOVA","B1 vs C1b2",0.0024,0.08,0.921,"ns"
"PC4","Pairwise PERMANOVA","B1 vs C2a",0.1524,4.67,0.1956,"ns"
"PC4","Pairwise PERMANOVA","B1 vs C2b1",0.022,0.58,0.663,"ns"
"PC4","Pairwise PERMANOVA","B1 vs C2b2",0.0505,2.13,0.4706,"ns"
"PC4","Pairwise PERMANOVA","B2a vs B2b",0.006,0.24,0.816,"ns"
"PC4","Pairwise PERMANOVA","B2a vs C1a",0.0049,0.14,0.8751,"ns"
"PC4","Pairwise PERMANOVA","B2a vs C1b1",0.0026,0.06,0.921,"ns"
"PC4","Pairwise PERMANOVA","B2a vs C1b2",0.0537,1.87,0.4895,"ns"
"PC4","Pairwise PERMANOVA","B2a vs C2a",0.0525,1.44,0.55,"ns"
"PC4","Pairwise PERMANOVA","B2a vs C2b1",0.0025,0.06,0.921,"ns"
"PC4","Pairwise PERMANOVA","B2a vs C2b2",8e-04,0.03,0.921,"ns"
"PC4","Pairwise PERMANOVA","B2b vs C1a",2e-04,0.01,0.9472,"ns"
"PC4","Pairwise PERMANOVA","B2b vs C1b1",0.0131,0.44,0.7108,"ns"
"PC4","Pairwise PERMANOVA","B2b vs C1b2",0.0261,1.13,0.55,"ns"
"PC4","Pairwise PERMANOVA","B2b vs C2a",0.0694,2.61,0.4596,"ns"
"PC4","Pairwise PERMANOVA","B2b vs C2b1",9e-04,0.03,0.921,"ns"
"PC4","Pairwise PERMANOVA","B2b vs C2b2",0.012,0.6,0.663,"ns"
"PC4","Pairwise PERMANOVA","C1a vs C1b1",0.0153,0.34,0.7459,"ns"
"PC4","Pairwise PERMANOVA","C1a vs C1b2",0.0313,1,0.55,"ns"
"PC4","Pairwise PERMANOVA","C1a vs C2a",0.1014,2.71,0.4596,"ns"
"PC4","Pairwise PERMANOVA","C1a vs C2b1",3e-04,0.01,0.9472,"ns"
"PC4","Pairwise PERMANOVA","C1a vs C2b2",0.0094,0.36,0.7459,"ns"
"PC4","Pairwise PERMANOVA","C1b1 vs C1b2",0.0646,1.87,0.4895,"ns"
"PC4","Pairwise PERMANOVA","C1b1 vs C2a",0.0381,0.79,0.6533,"ns"
"PC4","Pairwise PERMANOVA","C1b1 vs C2b1",0.0104,0.21,0.816,"ns"
"PC4","Pairwise PERMANOVA","C1b1 vs C2b2",4e-04,0.01,0.9472,"ns"
"PC4","Pairwise PERMANOVA","C1b2 vs C2a",0.153,5.24,0.1956,"ns"
"PC4","Pairwise PERMANOVA","C1b2 vs C2b1",0.0335,1.01,0.55,"ns"
"PC4","Pairwise PERMANOVA","C1b2 vs C2b2",0.0698,3.22,0.44,"ns"
"PC4","Pairwise PERMANOVA","C2a vs C2b1",0.0839,2.02,0.4706,"ns"
"PC4","Pairwise PERMANOVA","C2a vs C2b2",0.0324,1.21,0.55,"ns"
"PC4","Pairwise PERMANOVA","C2b1 vs C2b2",0.0057,0.21,0.8588,"ns"
"PC4","Pairwise PERMDISP","A1 vs A2",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","A1 vs B1",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","A1 vs B2a",NA,NA,0.9956,"ns"
"PC4","Pairwise PERMDISP","A1 vs B2b",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","A1 vs C1a",NA,NA,0.9993,"ns"
"PC4","Pairwise PERMDISP","A1 vs C1b1",NA,NA,0.9988,"ns"
"PC4","Pairwise PERMDISP","A1 vs C1b2",NA,NA,0.9999,"ns"
"PC4","Pairwise PERMDISP","A1 vs C2a",NA,NA,0.5274,"ns"
"PC4","Pairwise PERMDISP","A1 vs C2b1",NA,NA,0.9998,"ns"
"PC4","Pairwise PERMDISP","A1 vs C2b2",NA,NA,0.9965,"ns"
"PC4","Pairwise PERMDISP","A2 vs B1",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","A2 vs B2a",NA,NA,0.9982,"ns"
"PC4","Pairwise PERMDISP","A2 vs B2b",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","A2 vs C1a",NA,NA,0.9999,"ns"
"PC4","Pairwise PERMDISP","A2 vs C1b1",NA,NA,0.9997,"ns"
"PC4","Pairwise PERMDISP","A2 vs C1b2",NA,NA,0.9955,"ns"
"PC4","Pairwise PERMDISP","A2 vs C2a",NA,NA,0.4863,"ns"
"PC4","Pairwise PERMDISP","A2 vs C2b1",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","A2 vs C2b2",NA,NA,0.9986,"ns"
"PC4","Pairwise PERMDISP","B1 vs B2a",NA,NA,0.9894,"ns"
"PC4","Pairwise PERMDISP","B1 vs B2b",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","B1 vs C1a",NA,NA,0.9984,"ns"
"PC4","Pairwise PERMDISP","B1 vs C1b1",NA,NA,0.9977,"ns"
"PC4","Pairwise PERMDISP","B1 vs C1b2",NA,NA,0.9993,"ns"
"PC4","Pairwise PERMDISP","B1 vs C2a",NA,NA,0.3406,"ns"
"PC4","Pairwise PERMDISP","B1 vs C2b1",NA,NA,0.9995,"ns"
"PC4","Pairwise PERMDISP","B1 vs C2b2",NA,NA,0.9895,"ns"
"PC4","Pairwise PERMDISP","B2a vs B2b",NA,NA,0.9994,"ns"
"PC4","Pairwise PERMDISP","B2a vs C1a",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","B2a vs C1b1",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","B2a vs C1b2",NA,NA,0.6718,"ns"
"PC4","Pairwise PERMDISP","B2a vs C2a",NA,NA,0.9418,"ns"
"PC4","Pairwise PERMDISP","B2a vs C2b1",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","B2a vs C2b2",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","B2b vs C1a",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","B2b vs C1b1",NA,NA,0.9999,"ns"
"PC4","Pairwise PERMDISP","B2b vs C1b2",NA,NA,0.9537,"ns"
"PC4","Pairwise PERMDISP","B2b vs C2a",NA,NA,0.4688,"ns"
"PC4","Pairwise PERMDISP","B2b vs C2b1",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","B2b vs C2b2",NA,NA,0.9996,"ns"
"PC4","Pairwise PERMDISP","C1a vs C1b1",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","C1a vs C1b2",NA,NA,0.8378,"ns"
"PC4","Pairwise PERMDISP","C1a vs C2a",NA,NA,0.8963,"ns"
"PC4","Pairwise PERMDISP","C1a vs C2b1",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","C1a vs C2b2",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","C1b1 vs C1b2",NA,NA,0.8576,"ns"
"PC4","Pairwise PERMDISP","C1b1 vs C2a",NA,NA,0.9643,"ns"
"PC4","Pairwise PERMDISP","C1b1 vs C2b1",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","C1b1 vs C2b2",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","C1b2 vs C2a",NA,NA,0.0478,"*"
"PC4","Pairwise PERMDISP","C1b2 vs C2b1",NA,NA,0.9063,"ns"
"PC4","Pairwise PERMDISP","C1b2 vs C2b2",NA,NA,0.5952,"ns"
"PC4","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.8894,"ns"
"PC4","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.8487,"ns"
"PC4","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,1,"ns"
"PC5","PERMANOVA (overall)","11 clusters",0.2749,6.18,0.001,"***"
"PC5","PERMDISP (overall)","11 clusters",NA,1.91,0.0478,"*"
"PC5","Pairwise PERMANOVA","A1 vs A2",0.0552,1.29,0.3492,"ns"
"PC5","Pairwise PERMANOVA","A1 vs B1",0.0378,0.9,0.4323,"ns"
"PC5","Pairwise PERMANOVA","A1 vs B2a",0.0931,2.36,0.2153,"ns"
"PC5","Pairwise PERMANOVA","A1 vs B2b",0.0459,1.54,0.2914,"ns"
"PC5","Pairwise PERMANOVA","A1 vs C1a",0.1411,3.45,0.1238,"ns"
"PC5","Pairwise PERMANOVA","A1 vs C1b1",0.1965,4.16,0.11,"ns"
"PC5","Pairwise PERMANOVA","A1 vs C1b2",0.2249,7.55,0.0367,"*"
"PC5","Pairwise PERMANOVA","A1 vs C2a",0.0227,0.44,0.599,"ns"
"PC5","Pairwise PERMANOVA","A1 vs C2b1",0.0094,0.18,0.743,"ns"
"PC5","Pairwise PERMANOVA","A1 vs C2b2",0.0027,0.09,0.7827,"ns"
"PC5","Pairwise PERMANOVA","A2 vs B1",0.226,8.47,0.0367,"*"
"PC5","Pairwise PERMANOVA","A2 vs B2a",0.0165,0.49,0.5647,"ns"
"PC5","Pairwise PERMANOVA","A2 vs B2b",0.2597,13.33,0.0092,"**"
"PC5","Pairwise PERMANOVA","A2 vs C1a",0.4123,18.94,0.0092,"**"
"PC5","Pairwise PERMANOVA","A2 vs C1b1",0.4396,18.04,0.0061,"**"
"PC5","Pairwise PERMANOVA","A2 vs C1b2",0.0835,2.92,0.1839,"ns"
"PC5","Pairwise PERMANOVA","A2 vs C2a",0.0173,0.44,0.6085,"ns"
"PC5","Pairwise PERMANOVA","A2 vs C2b1",0.0121,0.31,0.6577,"ns"
"PC5","Pairwise PERMANOVA","A2 vs C2b2",0.0252,1.01,0.4217,"ns"
"PC5","Pairwise PERMANOVA","B1 vs B2a",0.2665,10.9,0.0212,"*"
"PC5","Pairwise PERMANOVA","B1 vs B2b",3e-04,0.01,0.938,"ns"
"PC5","Pairwise PERMANOVA","B1 vs C1a",0.0498,1.47,0.3356,"ns"
"PC5","Pairwise PERMANOVA","B1 vs C1b1",0.1153,3.13,0.1687,"ns"
"PC5","Pairwise PERMANOVA","B1 vs C1b2",0.5012,33.16,0.0061,"**"
"PC5","Pairwise PERMANOVA","B1 vs C2a",0.1688,5.28,0.1079,"ns"
"PC5","Pairwise PERMANOVA","B1 vs C2b1",0.0831,2.36,0.2153,"ns"
"PC5","Pairwise PERMANOVA","B1 vs C2b2",0.0588,2.5,0.205,"ns"
"PC5","Pairwise PERMANOVA","B2a vs B2b",0.3063,17.22,0.0092,"**"
"PC5","Pairwise PERMANOVA","B2a vs C1a",0.4113,19.57,0.0061,"**"
"PC5","Pairwise PERMANOVA","B2a vs C1b1",0.4295,18.07,0.0061,"**"
"PC5","Pairwise PERMANOVA","B2a vs C1b2",0.0088,0.29,0.6645,"ns"
"PC5","Pairwise PERMANOVA","B2a vs C2a",0.0568,1.57,0.3356,"ns"
"PC5","Pairwise PERMANOVA","B2a vs C2b1",0.0405,1.1,0.4051,"ns"
"PC5","Pairwise PERMANOVA","B2a vs C2b2",0.0633,2.7,0.1792,"ns"
"PC5","Pairwise PERMANOVA","B2b vs C1a",0.0466,1.81,0.2914,"ns"
"PC5","Pairwise PERMANOVA","B2b vs C1b1",0.1132,4.21,0.0917,"ns"
"PC5","Pairwise PERMANOVA","B2b vs C1b2",0.5424,49.78,0.0061,"**"
"PC5","Pairwise PERMANOVA","B2b vs C2a",0.1918,8.31,0.033,"*"
"PC5","Pairwise PERMANOVA","B2b vs C2b1",0.0997,3.88,0.0946,"ns"
"PC5","Pairwise PERMANOVA","B2b vs C2b2",0.0787,4.19,0.0917,"ns"
"PC5","Pairwise PERMANOVA","C1a vs C1b1",0.0383,0.88,0.45,"ns"
"PC5","Pairwise PERMANOVA","C1a vs C1b2",0.7099,75.84,0.0061,"**"
"PC5","Pairwise PERMANOVA","C1a vs C2a",0.3975,15.83,0.0061,"**"
"PC5","Pairwise PERMANOVA","C1a vs C2b1",0.1899,5.62,0.0471,"*"
"PC5","Pairwise PERMANOVA","C1a vs C2b2",0.1438,6.38,0.0471,"*"
"PC5","Pairwise PERMANOVA","C1b1 vs C1b2",0.6963,61.9,0.0061,"**"
"PC5","Pairwise PERMANOVA","C1b1 vs C2a",0.4354,15.42,0.0061,"**"
"PC5","Pairwise PERMANOVA","C1b1 vs C2b1",0.2324,6.06,0.05,"*"
"PC5","Pairwise PERMANOVA","C1b1 vs C2b2",0.1801,7.47,0.0405,"*"
"PC5","Pairwise PERMANOVA","C1b2 vs C2a",0.2197,8.16,0.0275,"*"
"PC5","Pairwise PERMANOVA","C1b2 vs C2b1",0.1072,3.48,0.1498,"ns"
"PC5","Pairwise PERMANOVA","C1b2 vs C2b2",0.1374,6.85,0.0344,"*"
"PC5","Pairwise PERMANOVA","C2a vs C2b1",3e-04,0.01,0.938,"ns"
"PC5","Pairwise PERMANOVA","C2a vs C2b2",0.0043,0.16,0.743,"ns"
"PC5","Pairwise PERMANOVA","C2b1 vs C2b2",0.0018,0.06,0.8292,"ns"
"PC5","Pairwise PERMDISP","A1 vs A2",NA,NA,0.9952,"ns"
"PC5","Pairwise PERMDISP","A1 vs B1",NA,NA,0.979,"ns"
"PC5","Pairwise PERMDISP","A1 vs B2a",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","A1 vs B2b",NA,NA,0.8512,"ns"
"PC5","Pairwise PERMDISP","A1 vs C1a",NA,NA,0.7709,"ns"
"PC5","Pairwise PERMDISP","A1 vs C1b1",NA,NA,0.9929,"ns"
"PC5","Pairwise PERMDISP","A1 vs C1b2",NA,NA,0.474,"ns"
"PC5","Pairwise PERMDISP","A1 vs C2a",NA,NA,0.8806,"ns"
"PC5","Pairwise PERMDISP","A1 vs C2b1",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","A1 vs C2b2",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","A2 vs B1",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","A2 vs B2a",NA,NA,0.9981,"ns"
"PC5","Pairwise PERMDISP","A2 vs B2b",NA,NA,0.9998,"ns"
"PC5","Pairwise PERMDISP","A2 vs C1a",NA,NA,0.9973,"ns"
"PC5","Pairwise PERMDISP","A2 vs C1b1",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","A2 vs C1b2",NA,NA,0.9461,"ns"
"PC5","Pairwise PERMDISP","A2 vs C2a",NA,NA,0.9997,"ns"
"PC5","Pairwise PERMDISP","A2 vs C2b1",NA,NA,0.8649,"ns"
"PC5","Pairwise PERMDISP","A2 vs C2b2",NA,NA,0.9972,"ns"
"PC5","Pairwise PERMDISP","B1 vs B2a",NA,NA,0.9863,"ns"
"PC5","Pairwise PERMDISP","B1 vs B2b",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","B1 vs C1a",NA,NA,0.9997,"ns"
"PC5","Pairwise PERMDISP","B1 vs C1b1",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","B1 vs C1b2",NA,NA,0.9838,"ns"
"PC5","Pairwise PERMDISP","B1 vs C2a",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","B1 vs C2b1",NA,NA,0.7303,"ns"
"PC5","Pairwise PERMDISP","B1 vs C2b2",NA,NA,0.9781,"ns"
"PC5","Pairwise PERMDISP","B2a vs B2b",NA,NA,0.8316,"ns"
"PC5","Pairwise PERMDISP","B2a vs C1a",NA,NA,0.7549,"ns"
"PC5","Pairwise PERMDISP","B2a vs C1b1",NA,NA,0.9969,"ns"
"PC5","Pairwise PERMDISP","B2a vs C1b2",NA,NA,0.3841,"ns"
"PC5","Pairwise PERMDISP","B2a vs C2a",NA,NA,0.8881,"ns"
"PC5","Pairwise PERMDISP","B2a vs C2b1",NA,NA,0.9992,"ns"
"PC5","Pairwise PERMDISP","B2a vs C2b2",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","B2b vs C1a",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","B2b vs C1b1",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","B2b vs C1b2",NA,NA,0.9987,"ns"
"PC5","Pairwise PERMDISP","B2b vs C2a",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","B2b vs C2b1",NA,NA,0.3519,"ns"
"PC5","Pairwise PERMDISP","B2b vs C2b2",NA,NA,0.7254,"ns"
"PC5","Pairwise PERMDISP","C1a vs C1b1",NA,NA,0.9998,"ns"
"PC5","Pairwise PERMDISP","C1a vs C1b2",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","C1a vs C2a",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","C1a vs C2b1",NA,NA,0.314,"ns"
"PC5","Pairwise PERMDISP","C1a vs C2b2",NA,NA,0.6639,"ns"
"PC5","Pairwise PERMDISP","C1b1 vs C1b2",NA,NA,0.9915,"ns"
"PC5","Pairwise PERMDISP","C1b1 vs C2a",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","C1b1 vs C2b1",NA,NA,0.8707,"ns"
"PC5","Pairwise PERMDISP","C1b1 vs C2b2",NA,NA,0.9959,"ns"
"PC5","Pairwise PERMDISP","C1b2 vs C2a",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","C1b2 vs C2b1",NA,NA,0.095,"ns"
"PC5","Pairwise PERMDISP","C1b2 vs C2b2",NA,NA,0.2462,"ns"
"PC5","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.4827,"ns"
"PC5","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.8432,"ns"
"PC5","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,0.9974,"ns"
"PC6","PERMANOVA (overall)","11 clusters",0.1617,3.14,0.002,"**"
"PC6","PERMDISP (overall)","11 clusters",NA,0.7,0.72,"ns"
"PC6","Pairwise PERMANOVA","A1 vs A2",0.1607,4.21,0.1558,"ns"
"PC6","Pairwise PERMANOVA","A1 vs B1",0.0872,2.2,0.3916,"ns"
"PC6","Pairwise PERMANOVA","A1 vs B2a",0.0801,2,0.3916,"ns"
"PC6","Pairwise PERMANOVA","A1 vs B2b",0.1908,7.55,0.0611,"ns"
"PC6","Pairwise PERMANOVA","A1 vs C1a",0.1903,4.94,0.1512,"ns"
"PC6","Pairwise PERMANOVA","A1 vs C1b1",0.0153,0.26,0.7822,"ns"
"PC6","Pairwise PERMANOVA","A1 vs C1b2",2e-04,0.01,0.949,"ns"
"PC6","Pairwise PERMANOVA","A1 vs C2a",0.031,0.61,0.6544,"ns"
"PC6","Pairwise PERMANOVA","A1 vs C2b1",0.0646,1.31,0.4874,"ns"
"PC6","Pairwise PERMANOVA","A1 vs C2b2",0.135,5.15,0.1558,"ns"
"PC6","Pairwise PERMANOVA","A2 vs B1",0.0104,0.3,0.75,"ns"
"PC6","Pairwise PERMANOVA","A2 vs B2a",0.035,1.05,0.495,"ns"
"PC6","Pairwise PERMANOVA","A2 vs B2b",1e-04,0,0.949,"ns"
"PC6","Pairwise PERMANOVA","A2 vs C1a",0.0033,0.09,0.8131,"ns"
"PC6","Pairwise PERMANOVA","A2 vs C1b1",0.273,8.64,0.0611,"ns"
"PC6","Pairwise PERMANOVA","A2 vs C1b2",0.2105,8.53,0.0367,"*"
"PC6","Pairwise PERMANOVA","A2 vs C2a",0.1316,3.79,0.187,"ns"
"PC6","Pairwise PERMANOVA","A2 vs C2b1",0.0359,0.93,0.5833,"ns"
"PC6","Pairwise PERMANOVA","A2 vs C2b2",0.0105,0.41,0.6945,"ns"
"PC6","Pairwise PERMANOVA","B1 vs B2a",0.0046,0.14,0.8118,"ns"
"PC6","Pairwise PERMANOVA","B1 vs B2b",0.0119,0.47,0.6761,"ns"
"PC6","Pairwise PERMANOVA","B1 vs C1a",0.0042,0.12,0.8118,"ns"
"PC6","Pairwise PERMANOVA","B1 vs C1b1",0.1706,4.94,0.1532,"ns"
"PC6","Pairwise PERMANOVA","B1 vs C1b2",0.1226,4.61,0.1558,"ns"
"PC6","Pairwise PERMANOVA","B1 vs C2a",0.0502,1.37,0.4871,"ns"
"PC6","Pairwise PERMANOVA","B1 vs C2b1",0.006,0.16,0.8118,"ns"
"PC6","Pairwise PERMANOVA","B1 vs C2b2",4e-04,0.02,0.9488,"ns"
"PC6","Pairwise PERMANOVA","B2a vs B2b",0.043,1.75,0.4485,"ns"
"PC6","Pairwise PERMANOVA","B2a vs C1a",0.0272,0.78,0.6438,"ns"
"PC6","Pairwise PERMANOVA","B2a vs C1b1",0.1816,5.33,0.1512,"ns"
"PC6","Pairwise PERMANOVA","B2a vs C1b2",0.1109,4.12,0.1558,"ns"
"PC6","Pairwise PERMANOVA","B2a vs C2a",0.0373,1.01,0.5517,"ns"
"PC6","Pairwise PERMANOVA","B2a vs C2b1",3e-04,0.01,0.949,"ns"
"PC6","Pairwise PERMANOVA","B2a vs C2b2",0.0117,0.47,0.6544,"ns"
"PC6","Pairwise PERMANOVA","B2b vs C1a",0.0032,0.12,0.8118,"ns"
"PC6","Pairwise PERMANOVA","B2b vs C1b1",0.3235,15.78,0.0367,"*"
"PC6","Pairwise PERMANOVA","B2b vs C1b2",0.2627,14.97,0.0367,"*"
"PC6","Pairwise PERMANOVA","B2b vs C2a",0.1643,6.88,0.066,"ns"
"PC6","Pairwise PERMANOVA","B2b vs C2b1",0.043,1.57,0.4502,"ns"
"PC6","Pairwise PERMANOVA","B2b vs C2b2",0.0125,0.62,0.6544,"ns"
"PC6","Pairwise PERMANOVA","C1a vs C1b1",0.3484,11.77,0.0367,"*"
"PC6","Pairwise PERMANOVA","C1a vs C1b2",0.2335,9.44,0.0367,"*"
"PC6","Pairwise PERMANOVA","C1a vs C2a",0.1777,5.19,0.1532,"ns"
"PC6","Pairwise PERMANOVA","C1a vs C2b1",0.0298,0.74,0.6544,"ns"
"PC6","Pairwise PERMANOVA","C1a vs C2b2",0.0031,0.12,0.8118,"ns"
"PC6","Pairwise PERMANOVA","C1b1 vs C1b2",0.0137,0.38,0.6945,"ns"
"PC6","Pairwise PERMANOVA","C1b1 vs C2a",0.1343,3.1,0.255,"ns"
"PC6","Pairwise PERMANOVA","C1b1 vs C2b1",0.1533,3.62,0.2043,"ns"
"PC6","Pairwise PERMANOVA","C1b1 vs C2b2",0.2558,11.68,0.0367,"*"
"PC6","Pairwise PERMANOVA","C1b2 vs C2a",0.0419,1.27,0.495,"ns"
"PC6","Pairwise PERMANOVA","C1b2 vs C2b1",0.0863,2.74,0.2559,"ns"
"PC6","Pairwise PERMANOVA","C1b2 vs C2b2",0.1943,10.37,0.055,"ns"
"PC6","Pairwise PERMANOVA","C2a vs C2b1",0.0259,0.59,0.6544,"ns"
"PC6","Pairwise PERMANOVA","C2a vs C2b2",0.0943,3.75,0.187,"ns"
"PC6","Pairwise PERMANOVA","C2b1 vs C2b2",0.0136,0.5,0.6761,"ns"
"PC6","Pairwise PERMDISP","A1 vs A2",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","A1 vs B1",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","A1 vs B2a",NA,NA,0.9999,"ns"
"PC6","Pairwise PERMDISP","A1 vs B2b",NA,NA,0.9859,"ns"
"PC6","Pairwise PERMDISP","A1 vs C1a",NA,NA,0.9955,"ns"
"PC6","Pairwise PERMDISP","A1 vs C1b1",NA,NA,0.9998,"ns"
"PC6","Pairwise PERMDISP","A1 vs C1b2",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","A1 vs C2a",NA,NA,0.812,"ns"
"PC6","Pairwise PERMDISP","A1 vs C2b1",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","A1 vs C2b2",NA,NA,0.9969,"ns"
"PC6","Pairwise PERMDISP","A2 vs B1",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","A2 vs B2a",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","A2 vs B2b",NA,NA,0.9978,"ns"
"PC6","Pairwise PERMDISP","A2 vs C1a",NA,NA,0.9996,"ns"
"PC6","Pairwise PERMDISP","A2 vs C1b1",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","A2 vs C1b2",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","A2 vs C2a",NA,NA,0.8837,"ns"
