"pair","diff_dispersion","CI_lower","CI_upper","p_adj","sig"
"B-A",-0.6255,-1.1827,-0.0683,0.0235,"*"
"C-A",-0.2423,-0.7665,0.282,0.52,"ns"
"C-B",0.3832,-0.0019,0.7684,0.0515,"ns"
