"pair","F_value","R2","p_value","p_adj","sig"
"A vs B",5.43,0.0643,0.002,0.006,"**"
"A vs C",3.75,0.0316,0.011,0.0165,"*"
"B vs C",2.77,0.0184,0.037,0.037,"*"
