"pair","diff_dispersion","CI_lower","CI_upper","p_adj","sig"
"B-A",-0.108,-0.1493,-0.0667,0,"***"
"C1-A",-0.0773,-0.1207,-0.0339,0,"***"
"C2-A",-0.0709,-0.1129,-0.0289,1e-04,"***"
"C1-B",0.0307,-0.0032,0.0646,0.0913,"ns"
"C2-B",0.0371,0.0049,0.0693,0.0168,"*"
"C2-C1",0.0064,-0.0284,0.0413,0.9642,"ns"
