"pair","F_value","R2","p_value","p_adj","sig"
"A vs B",39.14,0.3231,0.001,0.001,"***"
"A vs C",48.4,0.2891,0.001,0.001,"***"
"B vs C",47.92,0.2362,0.001,0.001,"***"
