"k","PC","test","pair","R2","F_value","p_value","sig"
5,"PC8","Pairwise PERMANOVA","C1 vs C4",0.1781,5.2,0.2,"ns"
5,"PC8","Pairwise PERMANOVA","C1 vs C5",0.0112,0.43,0.6575,"ns"
5,"PC8","Pairwise PERMANOVA","C2 vs C3",0.0191,0.76,0.5571,"ns"
5,"PC8","Pairwise PERMANOVA","C2 vs C4",0.0034,0.13,0.712,"ns"
5,"PC8","Pairwise PERMANOVA","C2 vs C5",0.0224,1.22,0.4483,"ns"
5,"PC8","Pairwise PERMANOVA","C3 vs C4",0.0115,0.26,0.712,"ns"
5,"PC8","Pairwise PERMANOVA","C3 vs C5",0.0881,3.48,0.2567,"ns"
5,"PC8","Pairwise PERMANOVA","C4 vs C5",0.0619,2.38,0.288,"ns"
5,"PC8","Pairwise PERMDISP","C1 vs C2",NA,NA,0.4116,"ns"
5,"PC8","Pairwise PERMDISP","C1 vs C3",NA,NA,0.8212,"ns"
5,"PC8","Pairwise PERMDISP","C1 vs C4",NA,NA,0.9566,"ns"
5,"PC8","Pairwise PERMDISP","C1 vs C5",NA,NA,0.8603,"ns"
5,"PC8","Pairwise PERMDISP","C2 vs C3",NA,NA,0.9928,"ns"
5,"PC8","Pairwise PERMDISP","C2 vs C4",NA,NA,0.9119,"ns"
5,"PC8","Pairwise PERMDISP","C2 vs C5",NA,NA,0.8992,"ns"
5,"PC8","Pairwise PERMDISP","C3 vs C4",NA,NA,0.9964,"ns"
5,"PC8","Pairwise PERMDISP","C3 vs C5",NA,NA,0.9988,"ns"
5,"PC8","Pairwise PERMDISP","C4 vs C5",NA,NA,0.9999,"ns"
5,"PC9","PERMANOVA (overall)","C1/C2/C3/C4/C5",0.2618,7.8,0.001,"***"
5,"PC9","PERMDISP (overall)","C1/C2/C3/C4/C5",NA,1.21,0.3119,"ns"
5,"PC9","Pairwise PERMANOVA","C1 vs C2",0.0824,3.68,0.0817,"ns"
5,"PC9","Pairwise PERMANOVA","C1 vs C3",0.3501,12.93,0.0025,"**"
5,"PC9","Pairwise PERMANOVA","C1 vs C4",0.328,11.72,0.006,"**"
5,"PC9","Pairwise PERMANOVA","C1 vs C5",0.0401,1.59,0.2422,"ns"
5,"PC9","Pairwise PERMANOVA","C2 vs C3",0.3905,24.99,0.0025,"**"
5,"PC9","Pairwise PERMANOVA","C2 vs C4",0.0719,3.02,0.13,"ns"
5,"PC9","Pairwise PERMANOVA","C2 vs C5",0.0014,0.07,0.771,"ns"
5,"PC9","Pairwise PERMANOVA","C3 vs C4",0.6233,36.41,0.0025,"**"
5,"PC9","Pairwise PERMANOVA","C3 vs C5",0.2691,13.25,0.0025,"**"
5,"PC9","Pairwise PERMANOVA","C4 vs C5",0.0638,2.45,0.145,"ns"
5,"PC9","Pairwise PERMDISP","C1 vs C2",NA,NA,0.9172,"ns"
5,"PC9","Pairwise PERMDISP","C1 vs C3",NA,NA,0.9995,"ns"
5,"PC9","Pairwise PERMDISP","C1 vs C4",NA,NA,0.7973,"ns"
5,"PC9","Pairwise PERMDISP","C1 vs C5",NA,NA,0.3234,"ns"
5,"PC9","Pairwise PERMDISP","C2 vs C3",NA,NA,0.9812,"ns"
5,"PC9","Pairwise PERMDISP","C2 vs C4",NA,NA,0.9887,"ns"
5,"PC9","Pairwise PERMDISP","C2 vs C5",NA,NA,0.6775,"ns"
5,"PC9","Pairwise PERMDISP","C3 vs C4",NA,NA,0.9064,"ns"
5,"PC9","Pairwise PERMDISP","C3 vs C5",NA,NA,0.5212,"ns"
5,"PC9","Pairwise PERMDISP","C4 vs C5",NA,NA,0.9818,"ns"
6,"PC1","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.4494,14.2,0.001,"***"
6,"PC1","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,0.8,0.5547,"ns"
6,"PC1","Pairwise PERMANOVA","C1 vs C2",0.1688,4.47,0.069,"ns"
6,"PC1","Pairwise PERMANOVA","C1 vs C3",0.015,0.47,0.476,"ns"
6,"PC1","Pairwise PERMANOVA","C1 vs C4",0.5745,32.4,0.003,"**"
6,"PC1","Pairwise PERMANOVA","C1 vs C5",0.4615,20.57,0.003,"**"
6,"PC1","Pairwise PERMANOVA","C1 vs C6",0.3102,17.09,0.005,"**"
6,"PC1","Pairwise PERMANOVA","C2 vs C3",0.2542,9.2,0.0107,"*"
6,"PC1","Pairwise PERMANOVA","C2 vs C4",0.239,6.28,0.0383,"*"
6,"PC1","Pairwise PERMANOVA","C2 vs C5",0.1075,2.41,0.1705,"ns"
6,"PC1","Pairwise PERMANOVA","C2 vs C6",0.0222,0.77,0.4446,"ns"
6,"PC1","Pairwise PERMANOVA","C3 vs C4",0.6497,53.8,0.003,"**"
6,"PC1","Pairwise PERMANOVA","C3 vs C5",0.5529,35.87,0.003,"**"
6,"PC1","Pairwise PERMANOVA","C3 vs C6",0.4239,31.64,0.003,"**"
6,"PC1","Pairwise PERMANOVA","C4 vs C5",0.063,1.48,0.2942,"ns"
6,"PC1","Pairwise PERMANOVA","C4 vs C6",0.1535,6.53,0.0337,"*"
6,"PC1","Pairwise PERMANOVA","C5 vs C6",0.0368,1.38,0.2942,"ns"
6,"PC1","Pairwise PERMDISP","C1 vs C2",NA,NA,0.9751,"ns"
6,"PC1","Pairwise PERMDISP","C1 vs C3",NA,NA,0.9665,"ns"
6,"PC1","Pairwise PERMDISP","C1 vs C4",NA,NA,0.9881,"ns"
6,"PC1","Pairwise PERMDISP","C1 vs C5",NA,NA,0.9998,"ns"
6,"PC1","Pairwise PERMDISP","C1 vs C6",NA,NA,0.9971,"ns"
6,"PC1","Pairwise PERMDISP","C2 vs C3",NA,NA,0.6551,"ns"
6,"PC1","Pairwise PERMDISP","C2 vs C4",NA,NA,0.7806,"ns"
6,"PC1","Pairwise PERMDISP","C2 vs C5",NA,NA,0.9968,"ns"
6,"PC1","Pairwise PERMDISP","C2 vs C6",NA,NA,0.9984,"ns"
6,"PC1","Pairwise PERMDISP","C3 vs C4",NA,NA,1,"ns"
6,"PC1","Pairwise PERMDISP","C3 vs C5",NA,NA,0.899,"ns"
6,"PC1","Pairwise PERMDISP","C3 vs C6",NA,NA,0.6958,"ns"
6,"PC1","Pairwise PERMDISP","C4 vs C5",NA,NA,0.9528,"ns"
