"k","PC","test","pair","R2","F_value","p_value","sig"
6,"PC7","Pairwise PERMANOVA","C1 vs C6",0.139,6.14,0.075,"ns"
6,"PC7","Pairwise PERMANOVA","C2 vs C3",4e-04,0.01,0.94,"ns"
6,"PC7","Pairwise PERMANOVA","C2 vs C4",0.1337,3.09,0.2121,"ns"
6,"PC7","Pairwise PERMANOVA","C2 vs C5",9e-04,0.02,0.94,"ns"
6,"PC7","Pairwise PERMANOVA","C2 vs C6",0.0097,0.33,0.7555,"ns"
6,"PC7","Pairwise PERMANOVA","C3 vs C4",0.1044,3.38,0.1925,"ns"
6,"PC7","Pairwise PERMANOVA","C3 vs C5",2e-04,0,0.94,"ns"
6,"PC7","Pairwise PERMANOVA","C3 vs C6",0.0093,0.4,0.7555,"ns"
6,"PC7","Pairwise PERMANOVA","C4 vs C5",0.0719,1.7,0.3844,"ns"
6,"PC7","Pairwise PERMANOVA","C4 vs C6",0.0241,0.89,0.5567,"ns"
6,"PC7","Pairwise PERMANOVA","C5 vs C6",0.0051,0.19,0.8388,"ns"
6,"PC7","Pairwise PERMDISP","C1 vs C2",NA,NA,0.9195,"ns"
6,"PC7","Pairwise PERMDISP","C1 vs C3",NA,NA,0.8134,"ns"
6,"PC7","Pairwise PERMDISP","C1 vs C4",NA,NA,0.5823,"ns"
6,"PC7","Pairwise PERMDISP","C1 vs C5",NA,NA,0.1174,"ns"
6,"PC7","Pairwise PERMDISP","C1 vs C6",NA,NA,0.0223,"*"
6,"PC7","Pairwise PERMDISP","C2 vs C3",NA,NA,1,"ns"
6,"PC7","Pairwise PERMDISP","C2 vs C4",NA,NA,0.9945,"ns"
6,"PC7","Pairwise PERMDISP","C2 vs C5",NA,NA,0.7285,"ns"
6,"PC7","Pairwise PERMDISP","C2 vs C6",NA,NA,0.4999,"ns"
6,"PC7","Pairwise PERMDISP","C3 vs C4",NA,NA,0.9939,"ns"
6,"PC7","Pairwise PERMDISP","C3 vs C5",NA,NA,0.6354,"ns"
6,"PC7","Pairwise PERMDISP","C3 vs C6",NA,NA,0.3121,"ns"
6,"PC7","Pairwise PERMDISP","C4 vs C5",NA,NA,0.945,"ns"
6,"PC7","Pairwise PERMDISP","C4 vs C6",NA,NA,0.8299,"ns"
6,"PC7","Pairwise PERMDISP","C5 vs C6",NA,NA,1,"ns"
6,"PC8","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.1267,2.52,0.033,"*"
6,"PC8","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,0.89,0.4913,"ns"
6,"PC8","Pairwise PERMANOVA","C1 vs C2",0.005,0.11,0.7725,"ns"
6,"PC8","Pairwise PERMANOVA","C1 vs C3",0.1841,6.99,0.1162,"ns"
6,"PC8","Pairwise PERMANOVA","C1 vs C4",0.1512,4.27,0.1162,"ns"
6,"PC8","Pairwise PERMANOVA","C1 vs C5",0.1781,5.2,0.1162,"ns"
6,"PC8","Pairwise PERMANOVA","C1 vs C6",0.0112,0.43,0.7173,"ns"
6,"PC8","Pairwise PERMANOVA","C2 vs C3",0.1405,4.41,0.135,"ns"
6,"PC8","Pairwise PERMANOVA","C2 vs C4",0.1216,2.77,0.2333,"ns"
6,"PC8","Pairwise PERMANOVA","C2 vs C5",0.1163,2.63,0.2333,"ns"
6,"PC8","Pairwise PERMANOVA","C2 vs C6",0.0184,0.64,0.6,"ns"
6,"PC8","Pairwise PERMANOVA","C3 vs C4",6e-04,0.02,0.886,"ns"
6,"PC8","Pairwise PERMANOVA","C3 vs C5",0.0092,0.27,0.7535,"ns"
6,"PC8","Pairwise PERMANOVA","C3 vs C6",0.1068,5.14,0.1162,"ns"
6,"PC8","Pairwise PERMANOVA","C4 vs C5",0.0115,0.26,0.7535,"ns"
6,"PC8","Pairwise PERMANOVA","C4 vs C6",0.0881,3.48,0.18,"ns"
6,"PC8","Pairwise PERMANOVA","C5 vs C6",0.0619,2.38,0.2333,"ns"
6,"PC8","Pairwise PERMDISP","C1 vs C2",NA,NA,0.3205,"ns"
6,"PC8","Pairwise PERMDISP","C1 vs C3",NA,NA,0.8315,"ns"
6,"PC8","Pairwise PERMDISP","C1 vs C4",NA,NA,0.874,"ns"
6,"PC8","Pairwise PERMDISP","C1 vs C5",NA,NA,0.9782,"ns"
6,"PC8","Pairwise PERMDISP","C1 vs C6",NA,NA,0.9071,"ns"
6,"PC8","Pairwise PERMDISP","C2 vs C3",NA,NA,0.8848,"ns"
6,"PC8","Pairwise PERMDISP","C2 vs C4",NA,NA,0.9283,"ns"
6,"PC8","Pairwise PERMDISP","C2 vs C5",NA,NA,0.7732,"ns"
6,"PC8","Pairwise PERMDISP","C2 vs C6",NA,NA,0.7444,"ns"
6,"PC8","Pairwise PERMDISP","C3 vs C4",NA,NA,1,"ns"
6,"PC8","Pairwise PERMDISP","C3 vs C5",NA,NA,0.9989,"ns"
6,"PC8","Pairwise PERMDISP","C3 vs C6",NA,NA,0.9998,"ns"
6,"PC8","Pairwise PERMDISP","C4 vs C5",NA,NA,0.999,"ns"
6,"PC8","Pairwise PERMDISP","C4 vs C6",NA,NA,0.9998,"ns"
6,"PC8","Pairwise PERMDISP","C5 vs C6",NA,NA,1,"ns"
6,"PC9","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.2728,6.53,0.001,"***"
6,"PC9","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,2.42,0.0421,"*"
6,"PC9","Pairwise PERMANOVA","C1 vs C2",0.1692,4.48,0.0825,"ns"
6,"PC9","Pairwise PERMANOVA","C1 vs C3",0.0723,2.42,0.21,"ns"
6,"PC9","Pairwise PERMANOVA","C1 vs C4",0.3501,12.93,0.0037,"**"
6,"PC9","Pairwise PERMANOVA","C1 vs C5",0.328,11.72,0.005,"**"
6,"PC9","Pairwise PERMANOVA","C1 vs C6",0.0401,1.59,0.305,"ns"
6,"PC9","Pairwise PERMANOVA","C2 vs C3",0.0521,1.48,0.305,"ns"
6,"PC9","Pairwise PERMANOVA","C2 vs C4",0.479,18.39,0.005,"**"
6,"PC9","Pairwise PERMANOVA","C2 vs C5",0.0168,0.34,0.6,"ns"
6,"PC9","Pairwise PERMANOVA","C2 vs C6",0.0182,0.63,0.5008,"ns"
6,"PC9","Pairwise PERMANOVA","C3 vs C4",0.4749,26.23,0.0037,"**"
6,"PC9","Pairwise PERMANOVA","C3 vs C5",0.1603,5.54,0.0707,"ns"
6,"PC9","Pairwise PERMANOVA","C3 vs C6",0.0012,0.05,0.832,"ns"
6,"PC9","Pairwise PERMANOVA","C4 vs C5",0.6233,36.41,0.0037,"**"
6,"PC9","Pairwise PERMANOVA","C4 vs C6",0.2691,13.25,0.0037,"**"
6,"PC9","Pairwise PERMANOVA","C5 vs C6",0.0638,2.45,0.21,"ns"
6,"PC9","Pairwise PERMDISP","C1 vs C2",NA,NA,0.2165,"ns"
6,"PC9","Pairwise PERMDISP","C1 vs C3",NA,NA,1,"ns"
6,"PC9","Pairwise PERMDISP","C1 vs C4",NA,NA,0.9999,"ns"
6,"PC9","Pairwise PERMDISP","C1 vs C5",NA,NA,0.8429,"ns"
6,"PC9","Pairwise PERMDISP","C1 vs C6",NA,NA,0.34,"ns"
6,"PC9","Pairwise PERMDISP","C2 vs C3",NA,NA,0.1155,"ns"
6,"PC9","Pairwise PERMDISP","C2 vs C4",NA,NA,0.3559,"ns"
6,"PC9","Pairwise PERMDISP","C2 vs C5",NA,NA,0.8764,"ns"
6,"PC9","Pairwise PERMDISP","C2 vs C6",NA,NA,0.9777,"ns"
6,"PC9","Pairwise PERMDISP","C3 vs C4",NA,NA,0.9984,"ns"
6,"PC9","Pairwise PERMDISP","C3 vs C5",NA,NA,0.7045,"ns"
6,"PC9","Pairwise PERMDISP","C3 vs C6",NA,NA,0.1578,"ns"
6,"PC9","Pairwise PERMDISP","C4 vs C5",NA,NA,0.939,"ns"
6,"PC9","Pairwise PERMDISP","C4 vs C6",NA,NA,0.5587,"ns"
6,"PC9","Pairwise PERMDISP","C5 vs C6",NA,NA,0.992,"ns"
