"PC","test","pair","R2","F_value","p_value","sig"
"PC3","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.135,2.71,0.034,"*"
"PC3","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,4.02,0.0025,"**"
"PC3","Pairwise PERMANOVA","C1 vs C2",0,0,0.99,"ns"
"PC3","Pairwise PERMANOVA","C1 vs C3",0.0544,1.78,0.2591,"ns"
"PC3","Pairwise PERMANOVA","C1 vs C4",0.0092,0.22,0.7223,"ns"
"PC3","Pairwise PERMANOVA","C1 vs C5",0.1179,3.21,0.2325,"ns"
"PC3","Pairwise PERMANOVA","C1 vs C6",0.1224,5.3,0.15,"ns"
"PC3","Pairwise PERMANOVA","C2 vs C3",0.0864,2.55,0.245,"ns"
"PC3","Pairwise PERMANOVA","C2 vs C4",0.0159,0.32,0.7223,"ns"
"PC3","Pairwise PERMANOVA","C2 vs C5",0.1725,4.17,0.162,"ns"
"PC3","Pairwise PERMANOVA","C2 vs C6",0.1468,5.85,0.15,"ns"
"PC3","Pairwise PERMANOVA","C3 vs C4",0.0614,1.9,0.2591,"ns"
"PC3","Pairwise PERMANOVA","C3 vs C5",0.0718,2.24,0.245,"ns"
"PC3","Pairwise PERMANOVA","C3 vs C6",0.0559,2.55,0.245,"ns"
"PC3","Pairwise PERMANOVA","C4 vs C5",0.1763,4.71,0.15,"ns"
"PC3","Pairwise PERMANOVA","C4 vs C6",0.13,5.38,0.15,"ns"
"PC3","Pairwise PERMANOVA","C5 vs C6",2e-04,0.01,0.99,"ns"
"PC3","Pairwise PERMDISP","C1 vs C2",NA,NA,0.6744,"ns"
"PC3","Pairwise PERMDISP","C1 vs C3",NA,NA,0.0041,"**"
"PC3","Pairwise PERMDISP","C1 vs C4",NA,NA,0.0038,"**"
"PC3","Pairwise PERMDISP","C1 vs C5",NA,NA,0.1626,"ns"
"PC3","Pairwise PERMDISP","C1 vs C6",NA,NA,0.0255,"*"
"PC3","Pairwise PERMDISP","C2 vs C3",NA,NA,0.4652,"ns"
"PC3","Pairwise PERMDISP","C2 vs C4",NA,NA,0.3322,"ns"
"PC3","Pairwise PERMDISP","C2 vs C5",NA,NA,0.9698,"ns"
"PC3","Pairwise PERMDISP","C2 vs C6",NA,NA,0.8529,"ns"
"PC3","Pairwise PERMDISP","C3 vs C4",NA,NA,0.9977,"ns"
"PC3","Pairwise PERMDISP","C3 vs C5",NA,NA,0.9139,"ns"
"PC3","Pairwise PERMDISP","C3 vs C6",NA,NA,0.9435,"ns"
"PC3","Pairwise PERMDISP","C4 vs C5",NA,NA,0.7775,"ns"
"PC3","Pairwise PERMDISP","C4 vs C6",NA,NA,0.8084,"ns"
"PC3","Pairwise PERMDISP","C5 vs C6",NA,NA,0.9998,"ns"
"PC4","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.0786,1.48,0.229,"ns"
"PC4","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,3.52,0.006,"**"
"PC4","Pairwise PERMANOVA","C1 vs C2",0.0153,0.34,0.7581,"ns"
"PC4","Pairwise PERMANOVA","C1 vs C3",0.0313,1,0.5944,"ns"
"PC4","Pairwise PERMANOVA","C1 vs C4",0.1014,2.71,0.53,"ns"
"PC4","Pairwise PERMANOVA","C1 vs C5",3e-04,0.01,0.929,"ns"
"PC4","Pairwise PERMANOVA","C1 vs C6",0.0094,0.36,0.7581,"ns"
"PC4","Pairwise PERMANOVA","C2 vs C3",0.0646,1.87,0.546,"ns"
"PC4","Pairwise PERMANOVA","C2 vs C4",0.0381,0.79,0.6633,"ns"
"PC4","Pairwise PERMANOVA","C2 vs C5",0.0104,0.21,0.7581,"ns"
"PC4","Pairwise PERMANOVA","C2 vs C6",4e-04,0.01,0.929,"ns"
"PC4","Pairwise PERMANOVA","C3 vs C4",0.153,5.24,0.495,"ns"
"PC4","Pairwise PERMANOVA","C3 vs C5",0.0335,1.01,0.5944,"ns"
"PC4","Pairwise PERMANOVA","C3 vs C6",0.0698,3.22,0.53,"ns"
"PC4","Pairwise PERMANOVA","C4 vs C5",0.0839,2.02,0.546,"ns"
"PC4","Pairwise PERMANOVA","C4 vs C6",0.0324,1.21,0.5944,"ns"
"PC4","Pairwise PERMANOVA","C5 vs C6",0.0057,0.21,0.7581,"ns"
"PC4","Pairwise PERMDISP","C1 vs C2",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","C1 vs C3",NA,NA,0.2877,"ns"
"PC4","Pairwise PERMDISP","C1 vs C4",NA,NA,0.3773,"ns"
"PC4","Pairwise PERMDISP","C1 vs C5",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","C1 vs C6",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","C2 vs C3",NA,NA,0.3141,"ns"
"PC4","Pairwise PERMDISP","C2 vs C4",NA,NA,0.5673,"ns"
"PC4","Pairwise PERMDISP","C2 vs C5",NA,NA,0.9999,"ns"
"PC4","Pairwise PERMDISP","C2 vs C6",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","C3 vs C4",NA,NA,0.0012,"**"
"PC4","Pairwise PERMDISP","C3 vs C5",NA,NA,0.3971,"ns"
"PC4","Pairwise PERMDISP","C3 vs C6",NA,NA,0.108,"ns"
"PC4","Pairwise PERMDISP","C4 vs C5",NA,NA,0.3645,"ns"
"PC4","Pairwise PERMDISP","C4 vs C6",NA,NA,0.3018,"ns"
"PC4","Pairwise PERMDISP","C5 vs C6",NA,NA,0.9999,"ns"
"PC5","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.3056,7.66,0.001,"***"
"PC5","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,2.46,0.0393,"*"
"PC5","Pairwise PERMANOVA","C1 vs C2",0.0383,0.88,0.4412,"ns"
"PC5","Pairwise PERMANOVA","C1 vs C3",0.7099,75.84,0.0075,"**"
"PC5","Pairwise PERMANOVA","C1 vs C4",0.3975,15.83,0.01,"**"
"PC5","Pairwise PERMANOVA","C1 vs C5",0.1899,5.62,0.0262,"*"
"PC5","Pairwise PERMANOVA","C1 vs C6",0.1438,6.38,0.0405,"*"
"PC5","Pairwise PERMANOVA","C2 vs C3",0.6963,61.9,0.0075,"**"
"PC5","Pairwise PERMANOVA","C2 vs C4",0.4354,15.42,0.0112,"*"
"PC5","Pairwise PERMANOVA","C2 vs C5",0.2324,6.06,0.0267,"*"
"PC5","Pairwise PERMANOVA","C2 vs C6",0.1801,7.47,0.02,"*"
"PC5","Pairwise PERMANOVA","C3 vs C4",0.2197,8.16,0.02,"*"
"PC5","Pairwise PERMANOVA","C3 vs C5",0.1072,3.48,0.1118,"ns"
"PC5","Pairwise PERMANOVA","C3 vs C6",0.1374,6.85,0.0257,"*"
"PC5","Pairwise PERMANOVA","C4 vs C5",3e-04,0.01,0.948,"ns"
"PC5","Pairwise PERMANOVA","C4 vs C6",0.0043,0.16,0.7915,"ns"
"PC5","Pairwise PERMANOVA","C5 vs C6",0.0018,0.06,0.8539,"ns"
"PC5","Pairwise PERMDISP","C1 vs C2",NA,NA,0.9873,"ns"
"PC5","Pairwise PERMDISP","C1 vs C3",NA,NA,0.9992,"ns"
"PC5","Pairwise PERMDISP","C1 vs C4",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","C1 vs C5",NA,NA,0.2006,"ns"
"PC5","Pairwise PERMDISP","C1 vs C6",NA,NA,0.4512,"ns"
"PC5","Pairwise PERMDISP","C2 vs C3",NA,NA,0.9158,"ns"
"PC5","Pairwise PERMDISP","C2 vs C4",NA,NA,0.997,"ns"
"PC5","Pairwise PERMDISP","C2 vs C5",NA,NA,0.6641,"ns"
"PC5","Pairwise PERMDISP","C2 vs C6",NA,NA,0.9415,"ns"
"PC5","Pairwise PERMDISP","C3 vs C4",NA,NA,0.9955,"ns"
"PC5","Pairwise PERMDISP","C3 vs C5",NA,NA,0.0659,"ns"
"PC5","Pairwise PERMDISP","C3 vs C6",NA,NA,0.1584,"ns"
"PC5","Pairwise PERMDISP","C4 vs C5",NA,NA,0.3125,"ns"
"PC5","Pairwise PERMDISP","C4 vs C6",NA,NA,0.6294,"ns"
"PC5","Pairwise PERMDISP","C5 vs C6",NA,NA,0.9536,"ns"
"PC6","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.2004,4.36,0.001,"***"
"PC6","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,1.07,0.3799,"ns"
"PC6","Pairwise PERMANOVA","C1 vs C2",0.3484,11.77,0.015,"*"
"PC6","Pairwise PERMANOVA","C1 vs C3",0.2335,9.44,0.015,"*"
"PC6","Pairwise PERMANOVA","C1 vs C4",0.1777,5.19,0.12,"ns"
"PC6","Pairwise PERMANOVA","C1 vs C5",0.0298,0.74,0.5032,"ns"
"PC6","Pairwise PERMANOVA","C1 vs C6",0.0031,0.12,0.732,"ns"
"PC6","Pairwise PERMANOVA","C2 vs C3",0.0137,0.38,0.5829,"ns"
"PC6","Pairwise PERMANOVA","C2 vs C4",0.1343,3.1,0.1687,"ns"
"PC6","Pairwise PERMANOVA","C2 vs C5",0.1533,3.62,0.1543,"ns"
"PC6","Pairwise PERMANOVA","C2 vs C6",0.2558,11.68,0.015,"*"
"PC6","Pairwise PERMANOVA","C3 vs C4",0.0419,1.27,0.399,"ns"
"PC6","Pairwise PERMANOVA","C3 vs C5",0.0863,2.74,0.18,"ns"
"PC6","Pairwise PERMANOVA","C3 vs C6",0.1943,10.37,0.015,"*"
"PC6","Pairwise PERMANOVA","C4 vs C5",0.0259,0.59,0.5758,"ns"
"PC6","Pairwise PERMANOVA","C4 vs C6",0.0943,3.75,0.1525,"ns"
