"PC","test","pair","R2","F_value","p_value","sig"
"PC1","PERMANOVA (overall)","C1a/C1b/C2a/C2b1/C2b2",0.386,13.83,0.001,"***"
"PC1","PERMDISP (overall)","C1a/C1b/C2a/C2b1/C2b2",NA,0.47,0.76,"ns"
"PC1","Pairwise PERMANOVA","C1a vs C1b",0.007,0.29,0.582,"ns"
"PC1","Pairwise PERMANOVA","C1a vs C2a",0.5745,32.4,0.005,"**"
"PC1","Pairwise PERMANOVA","C1a vs C2b1",0.4615,20.57,0.0025,"**"
"PC1","Pairwise PERMANOVA","C1a vs C2b2",0.3102,17.09,0.004,"**"
"PC1","Pairwise PERMANOVA","C1b vs C2a",0.4139,27.54,0.0025,"**"
"PC1","Pairwise PERMANOVA","C1b vs C2b1",0.2957,16.38,0.0025,"**"
"PC1","Pairwise PERMANOVA","C1b vs C2b2",0.2263,15.5,0.0025,"**"
"PC1","Pairwise PERMANOVA","C2a vs C2b1",0.063,1.48,0.2589,"ns"
"PC1","Pairwise PERMANOVA","C2a vs C2b2",0.1535,6.53,0.0229,"*"
"PC1","Pairwise PERMANOVA","C2b1 vs C2b2",0.0368,1.38,0.2589,"ns"
"PC1","Pairwise PERMDISP","C1a vs C1b",NA,NA,0.965,"ns"
"PC1","Pairwise PERMDISP","C1a vs C2a",NA,NA,0.9767,"ns"
"PC1","Pairwise PERMDISP","C1a vs C2b1",NA,NA,0.9992,"ns"
"PC1","Pairwise PERMDISP","C1a vs C2b2",NA,NA,0.9925,"ns"
"PC1","Pairwise PERMDISP","C1b vs C2a",NA,NA,0.6953,"ns"
"PC1","Pairwise PERMDISP","C1b vs C2b1",NA,NA,0.9971,"ns"
"PC1","Pairwise PERMDISP","C1b vs C2b2",NA,NA,0.999,"ns"
"PC1","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.9288,"ns"
"PC1","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.8195,"ns"
"PC1","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,0.9999,"ns"
"PC2","PERMANOVA (overall)","C1a/C1b/C2a/C2b1/C2b2",0.2653,7.94,0.001,"***"
"PC2","PERMDISP (overall)","C1a/C1b/C2a/C2b1/C2b2",NA,0.27,0.8988,"ns"
"PC2","Pairwise PERMANOVA","C1a vs C1b",0.0203,0.85,0.4278,"ns"
"PC2","Pairwise PERMANOVA","C1a vs C2a",0.1022,2.73,0.1471,"ns"
"PC2","Pairwise PERMANOVA","C1a vs C2b1",0.1076,2.89,0.1471,"ns"
"PC2","Pairwise PERMANOVA","C1a vs C2b2",0.1416,6.27,0.046,"*"
"PC2","Pairwise PERMANOVA","C1b vs C2a",0.0463,1.89,0.2225,"ns"
"PC2","Pairwise PERMANOVA","C1b vs C2b1",0.2054,10.08,0.0167,"*"
"PC2","Pairwise PERMANOVA","C1b vs C2b2",0.2839,21.01,0.005,"**"
"PC2","Pairwise PERMANOVA","C2a vs C2b1",0.3232,10.51,0.0175,"*"
"PC2","Pairwise PERMANOVA","C2a vs C2b2",0.3613,20.36,0.005,"**"
"PC2","Pairwise PERMANOVA","C2b1 vs C2b2",0.0022,0.08,0.795,"ns"
"PC2","Pairwise PERMDISP","C1a vs C1b",NA,NA,0.9457,"ns"
"PC2","Pairwise PERMDISP","C1a vs C2a",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","C1a vs C2b1",NA,NA,0.9995,"ns"
"PC2","Pairwise PERMDISP","C1a vs C2b2",NA,NA,0.9769,"ns"
"PC2","Pairwise PERMDISP","C1b vs C2a",NA,NA,0.9249,"ns"
"PC2","Pairwise PERMDISP","C1b vs C2b1",NA,NA,0.9912,"ns"
"PC2","Pairwise PERMDISP","C1b vs C2b2",NA,NA,0.9998,"ns"
"PC2","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.9981,"ns"
"PC2","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.9631,"ns"
"PC2","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,0.998,"ns"
"PC3","PERMANOVA (overall)","C1a/C1b/C2a/C2b1/C2b2",0.1177,2.94,0.022,"*"
"PC3","PERMDISP (overall)","C1a/C1b/C2a/C2b1/C2b2",NA,3.91,0.0058,"**"
"PC3","Pairwise PERMANOVA","C1a vs C1b",0.0212,0.89,0.53,"ns"
"PC3","Pairwise PERMANOVA","C1a vs C2a",0.0092,0.22,0.74,"ns"
"PC3","Pairwise PERMANOVA","C1a vs C2b1",0.1179,3.21,0.1317,"ns"
"PC3","Pairwise PERMANOVA","C1a vs C2b2",0.1224,5.3,0.0833,"ns"
"PC3","Pairwise PERMANOVA","C1b vs C2a",0.005,0.2,0.74,"ns"
"PC3","Pairwise PERMANOVA","C1b vs C2b1",0.0896,3.84,0.12,"ns"
"PC3","Pairwise PERMANOVA","C1b vs C2b2",0.0948,5.55,0.0833,"ns"
"PC3","Pairwise PERMANOVA","C2a vs C2b1",0.1763,4.71,0.0925,"ns"
"PC3","Pairwise PERMANOVA","C2a vs C2b2",0.13,5.38,0.0833,"ns"
"PC3","Pairwise PERMANOVA","C2b1 vs C2b2",2e-04,0.01,0.942,"ns"
"PC3","Pairwise PERMDISP","C1a vs C1b",NA,NA,0.0195,"*"
"PC3","Pairwise PERMDISP","C1a vs C2a",NA,NA,0.0038,"**"
