"pair","diff_dispersion","CI_lower","CI_upper","p_adj","sig"
"B-A",-0.108,-0.1472,-0.0688,0,"***"
"C-A",-0.0436,-0.0806,-0.0066,0.0163,"*"
"C-B",0.0644,0.0377,0.0911,0,"***"
