"pair","diff_dispersion","CI_lower","CI_upper","p_adj","sig"
"A2-A1",0.0678,-0.0093,0.145,0.1385,"ns"
"B1-A1",-0.0624,-0.1378,0.013,0.2022,"ns"
"B2a-A1",-0.0445,-0.1199,0.031,0.6759,"ns"
"B2b-A1",-0.0646,-0.1353,0.0062,0.1065,"ns"
"C1a-A1",-0.0824,-0.1605,-0.0042,0.03,"*"
"C1b-A1",0.0103,-0.0593,0.0798,1,"ns"
"C2a-A1",-0.0375,-0.1182,0.0431,0.8938,"ns"
"C2b1-A1",-0.0336,-0.1143,0.0471,0.9439,"ns"
"C2b2-A1",-0.0319,-0.1017,0.0379,0.9037,"ns"
"B1-A2",-0.1302,-0.195,-0.0654,0,"***"
"B2a-A2",-0.1123,-0.1771,-0.0475,0,"***"
"B2b-A2",-0.1324,-0.1917,-0.0731,0,"***"
"C1a-A2",-0.1502,-0.2182,-0.0822,0,"***"
"C1b-A2",-0.0576,-0.1154,3e-04,0.0523,"ns"
"C2a-A2",-0.1054,-0.1762,-0.0345,2e-04,"***"
"C2b1-A2",-0.1014,-0.1723,-0.0306,4e-04,"***"
"C2b2-A2",-0.0997,-0.1579,-0.0415,0,"***"
"B2a-B1",0.0179,-0.0448,0.0807,0.9958,"ns"
"B2b-B1",-0.0022,-0.0592,0.0549,1,"ns"
"C1a-B1",-0.02,-0.086,0.0461,0.9936,"ns"
"C1b-B1",0.0726,0.0171,0.1282,0.0018,"**"
"C2a-B1",0.0249,-0.0441,0.0938,0.9779,"ns"
"C2b1-B1",0.0288,-0.0402,0.0978,0.9434,"ns"
"C2b2-B1",0.0305,-0.0254,0.0864,0.7659,"ns"
"B2b-B2a",-0.0201,-0.0772,0.037,0.9809,"ns"
"C1a-B2a",-0.0379,-0.1039,0.0281,0.7088,"ns"
"C1b-B2a",0.0547,-8e-04,0.1103,0.0573,"ns"
"C2a-B2a",0.0069,-0.0621,0.0759,1,"ns"
"C2b1-B2a",0.0109,-0.0581,0.0798,1,"ns"
"C2b2-B2a",0.0125,-0.0433,0.0684,0.9994,"ns"
"C1a-B2b",-0.0178,-0.0784,0.0429,0.9949,"ns"
"C1b-B2b",0.0748,0.0258,0.1238,1e-04,"***"
"C2a-B2b",0.027,-0.0368,0.0909,0.9382,"ns"
"C2b1-B2b",0.031,-0.0329,0.0948,0.8675,"ns"
"C2b2-B2b",0.0327,-0.0168,0.0821,0.5167,"ns"
"C1b-C1a",0.0926,0.0334,0.1518,1e-04,"***"
"C2a-C1a",0.0448,-0.0272,0.1168,0.6028,"ns"
"C2b1-C1a",0.0487,-0.0232,0.1207,0.4804,"ns"
"C2b2-C1a",0.0504,-0.0091,0.11,0.1756,"ns"
"C2a-C1b",-0.0478,-0.1103,0.0147,0.3024,"ns"
"C2b1-C1b",-0.0439,-0.1064,0.0186,0.4271,"ns"
"C2b2-C1b",-0.0422,-0.0898,0.0055,0.1325,"ns"
"C2b1-C2a",0.0039,-0.0708,0.0786,1,"ns"
"C2b2-C2a",0.0056,-0.0572,0.0684,1,"ns"
"C2b2-C2b1",0.0017,-0.0611,0.0645,1,"ns"
