"test","pair","Df","R2","F_value","p_value","sig"
"PERMANOVA (overall)","A/B/C",2,0.0419,3.74,0.002,"**"
"PERMDISP (overall)","A/B/C",2,NA,4.43,0.013,"*"
"Pairwise PERMANOVA","A vs B",NA,0.0643,5.43,0.006,"**"
"Pairwise PERMANOVA","A vs C",NA,0.0316,3.75,0.0165,"*"
"Pairwise PERMANOVA","B vs C",NA,0.0184,2.77,0.037,"*"
"Pairwise PERMDISP","A vs B",NA,NA,NA,0.0235,"*"
"Pairwise PERMDISP","A vs C",NA,NA,NA,0.52,"ns"
"Pairwise PERMDISP","B vs C",NA,NA,NA,0.0515,"ns"
