"cluster","AnW","cSW","IMW & cCW","MWW","wCW","wSW","WW"
"1",2,0,0,0,0,7,0
"2",0,7,0,0,5,3,0
"3",8,0,0,0,0,9,0
"4",3,6,2,0,1,5,0
"5",2,14,0,0,1,9,0
"6",3,0,0,0,0,11,0
"7",5,2,0,0,0,23,0
"8",1,2,0,0,8,1,0
"9",1,5,0,0,1,5,0
"10",1,17,0,1,1,8,1
