"cluster","AnW","cSW","IMW & cCW","MWW","wCW","wSW","WW"
"A1",22.2,0,0,0,0,77.8,0
"A2",0,46.7,0,0,33.3,20,0
"B1",47.1,0,0,0,0,52.9,0
"B2a",17.6,35.3,11.8,0,5.9,29.4,0
"B2b",7.7,53.8,0,0,3.8,34.6,0
"C1a",21.4,0,0,0,0,78.6,0
"C1b1",0,0,0,0,0,100,0
"C1b2",26.3,10.5,0,0,0,63.2,0
"C2a",8.3,16.7,0,0,66.7,8.3,0
"C2b1",8.3,41.7,0,0,8.3,41.7,0
"C2b2",3.4,58.6,0,3.4,3.4,27.6,3.4
