"cluster","AnW","cSW","IMW & cCW","MWW","wCW","wSW","WW"
"A1",2,0,0,0,0,7,0
"A2",0,7,0,0,5,3,0
"B1",8,0,0,0,0,9,0
"B2a",3,6,2,0,1,5,0
"B2b",2,14,0,0,1,9,0
"C1a",3,0,0,0,0,11,0
"C1b1",0,0,0,0,0,11,0
"C1b2",5,2,0,0,0,12,0
"C2a",1,2,0,0,8,1,0
"C2b1",1,5,0,0,1,5,0
"C2b2",1,17,0,1,1,8,1
